a	eɪ
buksaetongeul	b ʌ k s iː t ɒ n dʒ j uː l
buksanghagetseupnida	b ʌ k s ɐ ŋ h a ɡ ɪ t s j uː p n ɪ d ə
bulbaldwaetda	b ʌ l b ə l d w iː t d ə
bulbeobeuro	b ʌ l b ɪ əʊ b j uː ɹ əʊ
bulbeop	b ʌ l b ɪ ə p
bulbeopjeogin	b ʌ l b ɪ ɒ p dʒ ɪ ɒ dʒ ɪ n
bulbeopjeonmae	b ʌ l b ɪ ɒ p dʒ ɪ ɒ n m iː
bulbeopjoeobeun	b ʌ l b ɪ ɒ p dʒ əʊ əʊ b ʌ n
bulbeopsataeui	b ʌ l b ɪ ɒ p s ɐ t iː j uː i
bulbicheuro	b ʌ l b ɪ tʃ j uː ɹ əʊ
bulcham	b ʌ l tʃ ə m
bulchamhagetdago	b ʌ l tʃ ɐ m h a ɡ ɪ t d eɪ ɡ əʊ
bulcheja	b ʌ l tʃ ɛ dʒ ə
bulchulmae	b ʌ l tʃ ə l m iː
bulchulmahagetdago	b ʌ l tʃ ə l m a h ɐ ɡ ɪ t d eɪ ɡ əʊ
bulchulmaseoneoneun	b ʌ l tʃ ə l m eɪ s əʊ n ɪ əʊ n ʌ n
buldojeoro	b ʌ l d əʊ dʒ ɔː ɹ əʊ
bulga	b ʌ l ɡ ə
bulganeunghae	b ʌ l ɡ ɐ n j uː ŋ h iː
bulganeunghagi	b ʌ l ɡ ɐ n j uː ŋ h ɑː ɡ ɪ
bulganeunghajineun	b ʌ l ɡ ɐ n j uː ŋ h ɐ dʒ aɪ n ʌ n
bulganeunghan	b ʌ l ɡ ɐ n j uː ŋ h ə n
bulgapihadaneun	b ʌ l ɡ ɐ p ɪ h ɐ d a n j uː n
bulgapihan	b ʌ l ɡ ɐ p ɪ h a n
bulgeojigo	b ʌ l dʒ ɪ ɒ dʒ ɪ ɡ əʊ
bulgeojin	b ʌ l dʒ ɪ ɒ dʒ ɪ n
bulgeum	b ʌ l dʒ iː ə m
bulgeun	b ʌ l dʒ j uː n
bulgireul	b ʌ l dʒ aɪə ɹ ʌ l
bulgiso	b ʌ l dʒ aɪ z əʊ
bulgo	b ʌ l ɡ əʊ
bulguhago	b ʌ l ɡ j uː h eɪ ɡ əʊ
bulgusok	b ʌ l ɡ j uː s ɒ k
bulgusokdwaetseupnida	b ʌ l ɡ j uː s ɒ k d w iː t s j uː p n ɪ d ə
bulgwa	b ʌ l ɡ w ə
bulgwahada	b ʌ l ɡ w ɐ h ɑː d ə
bulgwahadaneun	b ʌ l ɡ w ɐ h a d ɐ n j uː n
bulgwahaeseo	b ʌ l ɡ w ɐ h iː s eɪ əʊ
bulgwahaetda	b ʌ l ɡ w ɐ h iː t d ə
bulgwahan	b ʌ l ɡ w ɐ h a n
bulgwahayeosseumyeo	b ʌ l ɡ w ɐ h eɪ ɪ ɒ s j uː m ɪ eɪ əʊ
bulgyeonggiragoneun	b ʌ l dʒ j əʊ ŋ dʒ ɜː ɹ ɐ ɡ ə n j uː n
bulhwangeuro	b ʌ l h w ɐ n dʒ j uː ɹ əʊ
bulhwanggwa	b ʌ l h w a ŋ ɡ w ə
bulhwaro	b ʌ l h w ɔː ɹ əʊ
bulkwaehasige	b ʌ l k w iː h a s aɪ dʒ
bulmaeundong	b ʌ l m iː ʌ n d ɒ ŋ
bulmando	b ʌ l m a n d əʊ
bulmani	b ʌ l m ɑː n i
bulmanida	b ʌ l m ɐ n ɪ d ə
bulmanseureowohamyeo	b ʌ l m ɐ n s j uː ɹ ɪ əʊ əʊ h a m ɪ eɪ əʊ
bulmanui	b ʌ l m ɐ n j uː i
bulmun	b ʌ l m ʌ n
bulmunyuri	b ʌ l m ə n j uː ɹ i
bulmyeonseo	b ʌ l m j əʊ n s eɪ əʊ
bulpiryohage	b ʌ l p ə ɹ ɪ əʊ h ɪ dʒ
bulpyeoneul	b ʌ l p j əʊ n j uː l
bulpyeongdeunggwa	b ʌ l p j əʊ ŋ d j uː ŋ ɡ w ə
bulpyeongdeunghage	b ʌ l p j əʊ ŋ d j uː ŋ h ɪ dʒ
bulpyeongdeunghal	b ʌ l p j əʊ ŋ d j uː ŋ h əl
bulpyeongdeungi	b ʌ l p j əʊ ŋ d j uː ŋ ɡ i
bulpyeonghaneun	b ʌ l p j əʊ ŋ h a n j uː n
bulpyeonhago	b ʌ l p j əʊ n h eɪ ɡ əʊ
bulpyeonhaji	b ʌ l p j əʊ n h a dʒ i
bulpyeonhal	b ʌ l p j əʊ n h əl
bulpyeonhameul	b ʌ l p j əʊ n h a m j uː l
bulpyeonhan	b ʌ l p j əʊ n h ə n
bulreo	b ʊ l ɹ ɪ əʊ
bulreoseo	b ʊ l ɹ ɪ əʊ s ɪ əʊ
bulreotda	b ʊ l ɹ ɪ ɒ t d ə
bulreotdaga	b ʊ l ɹ ɪ ə t d ɑː ɡ ə
bulreotneunde	b ʊ l ɹ ɪ ɒ t n j uː n d
bulreotseupnida	b ʊ l ɹ ɪ ɒ t s j uː p n ɪ d ə
bulrigido	b ʊ l ɹ ɪ dʒ iː d əʊ
bulrigie	b ʊ l ɹ ɪ dʒ i
bulrihage	b ʊ l ɹ ɪ h ɪ dʒ
bulrihan	b ʊ l ɹ ɪ h a n
bulrineun	b ʊ l ɹ aɪ n ʌ n
bulryangjepumeul	b ʊ l r j a ŋ dʒ ɪ p j uː m j uː l
bulryeojineun	b ʊ l r j əʊ dʒ aɪ n ʌ n
bulryeotdeon	b ʊ l r j əʊ t d ɪ ə n
bulsochuui	b ʌ l s ə tʃ uː i
bulsunjonghal	b ʌ l s ə n dʒ ɒ ŋ h əl
bultaewo	b ʌ l t iː w əʊ
bultaneun	b ʌ l t ɐ n j uː n
bultaoreudorok	b ʌ l t eɪ ɔː ɹ ɔɪ d ɔː ɹ ɒ k
bulteukjeong	b ʌ l t j uː k dʒ ɪ ɒ ŋ
bumbyeotda	b ʌ m b j əʊ t d ə
bumo	b uː m əʊ
bumodeureun	b j uː m əʊ d j uː ɹ uː n
bumoege	b j uː m əʊ dʒ
bumoga	b j uː m əʊ ɡ ə
bumoin	b j uː m ɔɪ n
bumona	b j uː m əʊ n ə
bumoneun	b j uː m əʊ n ʌ n
bumonimeun	b j uː m ə n aɪ m ʌ n
bumonimgwa	b j uː m ə n ɪ m ɡ w ə
bumonimina	b j uː m ə n ɪ m ɪ n ə
bumonimkkeseo	b j uː m ə n ɪ m k ɪ s eɪ əʊ
bumoui	b j uː m uː i
bumunbyeol	b j uː m ə n b j əʊ l
bumuneseo	b j uː m ə n ɪ s eɪ əʊ
bumuneseon	b j uː m ə n ɛ s ɪ ə n
bumuneseoneun	b j uː m ə n ɛ s ɪ əʊ n ʌ n
bumungwa	b j uː m ʌ ŋ w ə
bun	b ʌ n
bunbakke	b ʌ n b a k
bunbunhada	b ʌ n b ə n h ɑː d ə
bunbuteo	b ʌ n b j uː t eɪ əʊ
bunchuldoen	b ʌ n tʃ ə l d əʊ n
bunchuldoenda	b ʌ n tʃ ə l d əʊ n d ə
bundamhae	b ʌ n d ɐ m h iː
bundang	b ʌ n d a ŋ
bundange	b ʌ n d a n dʒ
bundanghajaneun	b ʌ n d ɐ ŋ h a dʒ ɐ n j uː n
bundangseon	b ʌ n d ɐ ŋ s ɪ ə n
bundeuldo	b ʌ n d j uː l d əʊ
bundeuregen	b ʌ n d j uː ɹ iː dʒ ə n
bundeureul	b ʌ n d j uː ɹ uː l
bundeureun	b ʌ n d j uː ɹ uː n
bundeuri	b ʌ n d j uː ɹ i
bundo	b ʌ n d əʊ
buneneun	b ʌ n ə n j uː n
buneul	b ʌ n j uː l
buneun	b ʌ n j uː n
buneuro	b ʌ n j uː ɹ əʊ
bungaehae	b ʌ ŋ ɡ iː h iː
bungaehageona	b ʌ ŋ ɡ iː h eɪ dʒ əʊ n ə
bungan	b ʌ ŋ ɡ ə n
bunganhagi	b ʌ ŋ ɡ ɐ n h ɑː ɡ ɪ
bungaryang	b ʌ ŋ ɡ ɑː j a ŋ
bunggoe	b ʌ ŋ ɡ əʊ
bunggoedwae	b ʌ ŋ ɡ əʊ d w iː
bungi	b ʌ ŋ ɡ i
bungieman	b ʌ ŋ ɡ ɪ m ə n
bungyeong	b ʌ n dʒ j əʊ ŋ
bunhongbicheul	b ʌ n h ə ŋ b ɪ tʃ j uː l
bunhwa	b ʌ n h w ə
buni	b uː n i
bunieotda	b j uː n ɪ ɒ t d ə
bunina	b j uː n ɪ n ə
bunirago	b j uː n ə ɹ eɪ ɡ əʊ
buniramyeonseo	b j uː n ə ɹ a m j əʊ n s eɪ əʊ
bunisipnida	b j uː n ɪ s ɪ p n ɪ d ə
bunisyeotjiman	b j uː n ɪ s j əʊ t dʒ ɪ m ə n
bunjaengeuro	b ʌ n j iː n dʒ j uː ɹ əʊ
bunjineun	b ʌ n dʒ aɪ n ʌ n
bunkkaji	b ʌ ŋ k a dʒ i
bunkke	b ʌ ŋ k
bunmyeonghada	b ʌ n m j əʊ ŋ h ɑː d ə
bunmyeonghae	b ʌ n m j əʊ ŋ h iː
bunmyeonghage	b ʌ n m j əʊ ŋ h ɪ dʒ
bunmyeonghajiman	b ʌ n m j əʊ ŋ h a dʒ ɪ m ə n
bunmyeonghan	b ʌ n m j əʊ ŋ h ə n
bunmyeonghi	b ʌ n m j əʊ ŋ h ɪ
bunnoe	b ʌ n əʊ
bunnohaneun	b ʌ n əʊ h a n j uː n
bunnoreul	b ʌ n ɔː ɹ uː l
bunpurie	b ʌ n p j ʊə ɹ i
bunri	b ʌ n ɹ i
bunridwae	b ʌ n ɹ ɪ d w iː
bunrijuuijadeurui	b ʌ n ɹ ɪ dʒ uː ɪ dʒ a d j uː ɹ uː i
bunryangui	b ʌ n r j a ŋ w i
bunryubuga	b ʌ n r j uː b uː ɡ ə
bunryudoemyeonseo	b ʌ n r j uː d əʊ m j əʊ n s eɪ əʊ
bunryudwae	b ʌ n r j uː d w iː
bunryuhan	b ʌ n r j uː h a n
bunseoge	b ʌ n s ɪ əʊ dʒ
bunseogeul	b ʌ n s ɪ əʊ dʒ ʌ l
bunseogi	b ʌ n s ɪ əʊ ɡ ɪ
bunseogida	b ʌ n s ɪ ɒ dʒ ɪ d ə
bunseogyong	b ʌ n s ɪ ɒ dʒ ɪ ɒ ŋ
bunseok	b ʌ n s ɪ ɒ k
bunseokdo	b ʌ n s ɪ ɒ k d əʊ
bunseokdoenda	b ʌ n s ɪ ɒ k d əʊ n d ə
bunseokgwa	b ʌ n s ɪ ɒ k ɡ w ə
bunseokhae	b ʌ n s ɪ ɒ k h iː
bunseokhaetda	b ʌ n s ɪ ɒ k h iː t d ə
bunseokhamyeo	b ʌ n s ɪ ɒ k h ɐ m ɪ eɪ əʊ
bunseokhapnida	b ʌ n s ɪ ɒ k h ɐ p n ɪ d ə
bunsinhan	b ʌ n s ɪ n h ə n
bunui	b ʌ n j uː i
bunwigi	b ʌ n w ɪ ɡ ɪ
bunwigida	b ʌ n w ɪ dʒ ɪ d ə
bunwigie	b ʌ n w ɪ dʒ i
bunwigiga	b ʌ n w ɪ dʒ ɪ ɡ ə
bunwigireul	b ʌ n w ɪ dʒ aɪə ɹ ʌ l
bunya	b ʌ n j ə
bunyaeseo	b ʌ n ɪ iː s eɪ əʊ
bunyangdoen	b ʌ n j a ŋ d əʊ n
bunyangganeun	b ʌ n j a ŋ ɡ ɐ n j uː n
bunyanggwon	b ʌ n j a ŋ ɡ w ə n
bunyangsijangeul	b ʌ n j a ŋ s ɪ dʒ a n dʒ j uː l
bunyangsijangi	b ʌ n j a ŋ s ɪ dʒ a ŋ ɡ i
bunyareul	b ʌ n j eə ɹ ʌ l
bunyeolhaetneundedo	b ʌ n j əʊ l h iː t n j uː n d iː d əʊ
bunyeolhayeotseupnida	b ʌ n j əʊ l h eɪ ɪ ɒ t s j uː p n ɪ d ə
bunyeolro	b ʌ n j əʊ l ɹ əʊ
bunyeolsikyeogajigo	b ʌ n j əʊ l s ɪ k j əʊ ɡ a dʒ ɪ ɡ əʊ
bunyeori	b ʌ n j əʊ ɹ i
bupae	b j uː p iː
bupaereul	b j uː p eə ɹ uː l
bupireul	b j uː p aɪə ɹ ʌ l
bupulrigiga	b j uː p ə l ɹ ɪ dʒ ɪ ɡ ə
bupulrindaneun	b j uː p ə l ɹ ɪ n d ɐ n j uː n
bupumeul	b j uː p j uː m j uː l
bupumgapse	b j uː p ə m ɡ a p s
bupureo	b j uː p j ʊə ɹ eɪ əʊ
buraneul	b j ʊə ɹ ɐ n j uː l
buraneuro	b j ʊə ɹ ɐ n j uː ɹ əʊ
burangamkkaji	b j ʊə ɹ ɐ ŋ ɡ a m k a dʒ i
buranhadago	b j ʊə ɹ ɐ n h ɐ d eɪ ɡ əʊ
buranhaehae	b j ʊə ɹ ɐ n h iː h iː
buranhaetgo	b j ʊə ɹ ɐ n h iː t ɡ əʊ
buranhan	b j ʊə ɹ a n h ə n
buranhani	b j ʊə ɹ ɐ n h ɑː n i
burani	b j ʊə ɹ ɑː n i
buranjeong	b j ʊə ɹ ɐ n dʒ ɪ ɒ ŋ
buranjeonghage	b j ʊə ɹ ɐ n dʒ ɪ ɒ ŋ h ɪ dʒ
bureo	b j ʊə ɹ ɪ əʊ
bureodakchin	b j ʊə ɹ ɪ ɒ d ɐ k tʃ ɪ n
bureojyeo	b j ʊə ɹ ɪ ɒ dʒ ɪ eɪ əʊ
bureona	b j ʊə ɹ ɪ əʊ n ə
bureoyahandaneun	b j ʊə ɹ ɪ ɔɪ ɐ h a n d ɐ n j uː n
bureugeona	b j ʊə ɹ uː dʒ ə n ə
bureugo	b j ʊə ɹ uː ɡ əʊ
bureugoneun	b j ʊə ɹ uː ɡ ɒ n j uː n
bureul	b j ʊə ɹ uː l
bureulkka	b j ʊə ɹ uː l k ə
bureun	b j ʊə ɹ uː n
bureuneun	b j ʊə ɹ uː n j uː n
bureung	b j ʊə ɹ uː ŋ
bureuptteugo	b j ʊə ɹ uː p t j uː ɡ əʊ
buri	b ɛ ɹ i
burido	b ɛ ɹ iː d əʊ
burieyo	b ɛ ɹ ɪ j əʊ
burilchihan	b ɛ ɹ ɪ l tʃ ɪ h a n
burimsageoneun	b ɛ ɹ ɪ m s eɪ dʒ əʊ n ʌ n
burimyeonseo	b ɛ ɹ ɪ m j əʊ n s eɪ əʊ
buruhan	b j ʊə ɹ uː h a n
buruiuse	b j ʊə ɹ uː ɪ ə s
buryaseong	b ɛ ɹ ɪ eɪ s ɒ ŋ
busajange	b j uː s ɐ dʒ a n dʒ
busajangeun	b j uː s ɐ dʒ a n dʒ j uː n
busajangi	b j uː s ɐ dʒ a ŋ ɡ i
busajangui	b j uː s ɐ dʒ a ŋ ɡ w i
busan	b j uː s ə n
busaneseo	b j uː s ə n ɪ s eɪ əʊ
busaneseoneun	b j uː s ə n ɛ s ɪ əʊ n ʌ n
busang	b j uː s a ŋ
busangeul	b j uː s ɐ n dʒ j uː l
busanghadeon	b j uː s ɐ ŋ h eɪ d ə n
busanghaetda	b j uː s ɐ ŋ h iː t d ə
busanghago	b j uː s ɐ ŋ h eɪ ɡ əʊ
busanghan	b j uː s a ŋ h ə n
busanghayeotseupnida	b j uː s ɐ ŋ h eɪ ɪ ɒ t s j uː p n ɪ d ə
busangjaneun	b j uː s ɐ ŋ dʒ a n j uː n
busangui	b j uː s a ŋ ɡ w i
busanhangi	b j uː s ɐ n h a ŋ ɡ i
busanjiyeok	b j uː s ɐ n dʒ ɪ j əʊ k
busankkaji	b j uː s ɐ ŋ k a dʒ i
busanmurida	b j uː s ɐ n m j ʊə ɹ ɪ d ə
busansineun	b j uː s ɐ n s aɪ n ʌ n
busansiseongeogwanriwiwonhoe	b j uː s ɐ n s aɪ s ə n dʒ ɪ ɒ ɡ w ɐ n ɹ ɪ w iː w ə n h əʊ
busanui	b j uː s ɐ n j uː i
buseo	b j uː s ɪ əʊ
buseoga	b j uː s ɪ əʊ ɡ ə
buseojangsireneun	b j uː s ɪ ɒ dʒ ɐ ŋ s aɪə n j uː n
buseojyeo	b j uː s ɪ ɒ dʒ ɪ eɪ əʊ
busi	b j uː s i
busijangi	b j uː s ɪ dʒ a ŋ ɡ i
busil	b j uː s əl
busilhan	b j uː s ɪ l h ə n
busilro	b j uː s ɪ l ɹ əʊ
busireul	b j uː s aɪə ɹ ʌ l
busiri	b j uː s iə ɹ i
busok	b j uː s ɒ k
butakdeuripnida	b j uː t ɐ k d j uː ɹ ɪ p n ɪ d ə
butan	b j uː t ə n
butdeorado	b ʌ t d ɪ ɔː ɹ ɑː d əʊ
buteo	b j uː t ɪ əʊ
buteoitdeon	b j uː t ɪ ɔɪ t d ɪ ə n
buteoitneun	b j uː t ɪ ɔɪ t n j uː n
buteul	b j uː t j uː l
buteun	b j uː t j uː n
buteurago	b j uː t j uː ɹ eɪ ɡ əʊ
butgwa	b ʌ t ɡ w ə
butimyeon	b j uː t ɪ m j əʊ n
butjabatdago	b ʌ t dʒ ɐ b ɐ t d eɪ ɡ əʊ
butjaphyeotda	b ʌ t dʒ ɐ f j əʊ t d ə
buttumak	b ʌ t j uː m a k
butyeo	b j uː t ɪ eɪ əʊ
butyeonochi	b j uː t j əʊ n ɒ tʃ ɪ
butyeotda	b j uː t j əʊ t d ə
buwi	b j uː w i
buwie	b j uː w i
buwiin	b j uː w ɪ ɪ n
buwireul	b j uː w aɪə ɹ ʌ l
buwonjangi	b j uː w ə n dʒ a ŋ ɡ i
buyanguimuja	b aɪ ɐ ŋ ɡ w ɪ m j uː dʒ ə
buyuhan	b aɪ j uː h a n
buyumurina	b aɪ j uː m j ʊə ɹ iː n ə
bwa	b iː d ʌ b əl j uː eɪ
bwado	b iː w ɑː d əʊ
bwajugi	b iː w a dʒ uː ɡ ɪ
bwajumyeon	b iː w a dʒ ə m j əʊ n
bwajuneun	b iː w a dʒ uː n j uː n
bwatda	b iː w ɒ t d ə
bwatdeon	b iː w ɒ t d ɪ ə n
bwatgeodeunyo	b iː w ɒ t dʒ ɪ ɒ d j uː n ɪ əʊ
bwatgi	b iː w ɒ t ɡ ɪ
bwatjiman	b iː w ɒ t dʒ ɪ m ə n
bwatneunde	b iː w ɒ t n j uː n d
bwaya	b iː w eɪ ə
byeoge	b j əʊ dʒ
byeokchero	b j əʊ k tʃ eə ɹ əʊ
byeokhwaipnida	b j əʊ k h w eɪ p n ɪ d ə
byeokmyeongwa	b j əʊ k m j əʊ ŋ w ə
byeol	b j əʊ l
byeolchingi	b j əʊ l tʃ ɪ ŋ ɡ i
byeoldareun	b j əʊ l d eə ɹ ʌ n
byeoldeuri	b j əʊ l d j uː ɹ i
byeoldeurui	b j əʊ l d j uː ɹ uː i
byeoldoro	b j əʊ l d ɔː ɹ əʊ
byeoldoui	b j əʊ l d uː i
byeolgeohaetgo	b j əʊ l dʒ ɪ ə h iː t ɡ əʊ
byeolgeohal	b j əʊ l dʒ ɪ ɒ h əl
byeolgeokjeong	b j əʊ l dʒ ɪ ɒ k dʒ ɪ ɒ ŋ
byeoljangin	b j əʊ l dʒ ɐ ŋ ɡ ɪ n
byeolmunje	b j əʊ l m ʌ n dʒ
byeolro	b j əʊ l ɹ əʊ
byeolse	b j əʊ l s
byeon	b j əʊ n
byeongarideureul	b j əʊ ŋ ɡ ɑː ɹ aɪ d j uː ɹ uː l
byeongarigambyeolsa	b j əʊ ŋ ɡ ɑː ɹ ɪ ɡ ɐ m b j əʊ l s ə
byeongdong	b j əʊ ŋ d ɒ ŋ
byeongdongdo	b j əʊ ŋ d ɒ ŋ d əʊ
byeongdonge	b j əʊ ŋ d ɒ n dʒ
byeonge	b j əʊ n dʒ
byeongeul	b j əʊ n dʒ j uː l
byeongeuro	b j əʊ n dʒ j uː ɹ əʊ
byeonggyun	b j əʊ ŋ dʒ ɪ ʌ n
byeonghaenghamyeonseo	b j əʊ ŋ h iː ŋ h a m j əʊ n s eɪ əʊ
byeonghaenghaneun	b j əʊ ŋ h iː ŋ h a n j uː n
byeongi	b j əʊ ŋ ɡ i
byeongittulkiro	b j əʊ ŋ ɡ ɪ t ə l k iə ɹ əʊ
byeongjang	b j əʊ ŋ dʒ a ŋ
byeongryeogui	b j əʊ ŋ ɡ r j əʊ ɡ w i
byeongsire	b j əʊ ŋ s aɪə
byeongwon	b j əʊ ŋ w ʌ n
byeongwonbiro	b j əʊ ŋ w ə n b iə ɹ əʊ
byeongwone	b j əʊ ŋ w ʌ n
byeongwoneseo	b j əʊ ŋ w ə n ɪ s eɪ əʊ
byeongwoneul	b j əʊ ŋ w ə n j uː l
byeongwoneun	b j əʊ ŋ w ə n j uː n
byeongwoneuro	b j əʊ ŋ w ə n j uː ɹ əʊ
byeongwongwa	b j əʊ ŋ w ʌ ŋ ɡ w ə
byeongwonin	b j əʊ ŋ w ə n ɪ n
byeongwonjangi	b j əʊ ŋ w ə n dʒ a ŋ ɡ i
byeongyeok	b j əʊ ŋ j əʊ k
byeongyeokbeobeul	b j əʊ ŋ j əʊ k b ɪ əʊ b ʌ l
byeongyeokbeop	b j əʊ ŋ j əʊ k b ɪ ə p
byeongyeokbiri	b j əʊ ŋ j əʊ k b iə ɹ i
byeongyeokbirireul	b j əʊ ŋ j əʊ k b ɪ ɹ aɪə ɹ ʌ l
byeongyeokgeobue	b j əʊ ŋ j əʊ k dʒ ɪ ɒ b j uː
byeongyeokgeobuneun	b j əʊ ŋ j əʊ k dʒ ɪ ɒ b ə n j uː n
byeongyeong	b j əʊ ŋ j əʊ ŋ
byeongyeongbodaneun	b j əʊ ŋ j əʊ ŋ b ɒ d ɐ n j uː n
byeongyeongdwaetda	b j əʊ ŋ j əʊ ŋ d w iː t d ə
byeongyeongeul	b j əʊ ŋ j əʊ n dʒ j uː l
byeongyeongeun	b j əʊ ŋ j əʊ n dʒ j uː n
byeongyeonghal	b j əʊ ŋ j əʊ ŋ h əl
byeongyeonghamyeonseo	b j əʊ ŋ j əʊ ŋ h a m j əʊ n s eɪ əʊ
byeongyeonghayeo	b j əʊ ŋ j əʊ ŋ h eɪ eɪ əʊ
byeongyeongttaedo	b j əʊ ŋ j əʊ ŋ t iː d əʊ
byeonhal	b j əʊ n h əl
byeonhohal	b j əʊ n h əʊ h əl
byeonhoin	b j əʊ n h ɔɪ n
byeonhoindanui	b j əʊ n h ɔɪ n d a n j uː i
byeonhoineuro	b j əʊ n h ɔɪ n j uː ɹ əʊ
byeonhoini	b j əʊ n h ɔɪ n i
byeonhosa	b j əʊ n h əʊ s ə
byeonhosadeureun	b j əʊ n h ə s a d j uː ɹ uː n
byeonhosae	b j əʊ n h ə s iː
byeonhosaege	b j əʊ n h ə s iː dʒ
byeonhosaeopgye	b j əʊ n h ə s iː ə p dʒ aɪ
byeonhosaga	b j əʊ n h ə s ɑː ɡ ə
byeonhosain	b j əʊ n h ə s eɪ n
byeonhosaneun	b j əʊ n h ə s a n j uː n
byeonhosareul	b j əʊ n h ə s eə ɹ ʌ l
byeonhosaui	b j əʊ n h ə s ɔː i
byeonhuijae	b j əʊ n h j uː ɪ j iː
byeonhwa	b j əʊ n h w ə
byeonhwae	b j əʊ n h w iː
byeonhwaga	b j əʊ n h w ɑː ɡ ə
byeonhwahaneun	b j əʊ n h w ɐ h a n j uː n
byeonhwanbong	b j əʊ n h w ɐ n b ɒ ŋ
byeonhwareul	b j əʊ n h w eə ɹ ʌ l
byeonhwaro	b j əʊ n h w ɔː ɹ əʊ
byeonhwayeotdaneun	b j əʊ n h w eɪ ɪ ɒ t d ɐ n j uː n
byeoniga	b j əʊ n ɪ ɡ ə
byeonjangeul	b j əʊ n dʒ ɐ n dʒ j uː l
byeonjuhaneun	b j əʊ n dʒ uː h a n j uː n
byeonmohaetdamyeo	b j əʊ n m əʊ h iː t d ɐ m ɪ eɪ əʊ
byeonmossineun	b j əʊ n m ɒ s aɪ n ʌ n
byeonroneseo	b j əʊ n ɹ əʊ n s eɪ əʊ
byeonssiui	b j əʊ n s ɪ j uː i
byeorak	b j əʊ ɹ a k
byeorakchigireul	b j əʊ ɹ ɐ k tʃ ɪ dʒ aɪə ɹ ʌ l
byeori	b j əʊ ɹ i
byeorira	b j əʊ ɹ iə ɹ ə
cha	tʃ ɑː
chabunhage	tʃ a b ʌ n h ɪ dʒ
chabunhan	tʃ a b ʌ n h ə n
chabyeol	tʃ a b j əʊ l
chabyeolsijeong	tʃ a b j əʊ l s aɪ dʒ ɒ ŋ
chabyeoreul	tʃ a b j əʊ ɹ uː l
chache	tʃ eɪ k
chachedo	tʃ a ʃ iː d əʊ
chacheum	tʃ a ʃ iː ə m
chachuge	tʃ a tʃ uː dʒ
chadan	tʃ a d ə n
chadanhaneun	tʃ a d ɐ n h a n j uː n
chadanhapnida	tʃ a d ɐ n h a p n ɪ d ə
chadanmageul	tʃ a d ɐ n m a dʒ j uː l
chado	tʃ ɑː d əʊ
chae	k iː
chaechwi	k iː tʃ w i
chaedang	k iː d a ŋ
chaega	k iː ɡ ə
chaege	k iː dʒ
chaegeneun	k iː dʒ ə n j uː n
chaegeul	k iː dʒ j uː l
chaegeun	k iː dʒ j uː n
chaegeuro	k iː dʒ j uː ɹ əʊ
chaegi	k iː ɡ ɪ
chaegim	k iː dʒ ɪ m
chaegimdo	k iː dʒ ɪ m d əʊ
chaegimeseo	k iː dʒ aɪ m s eɪ əʊ
chaegimeul	k iː dʒ aɪ m ʌ l
chaegimgam	k iː dʒ ɪ m ɡ a m
chaegimhoepihamyeon	k iː dʒ ɪ m h əʊ p ɪ h a m j əʊ n
chaegimi	k iː dʒ ɪ m i
chaegimigineun	k iː dʒ ɪ m ɪ dʒ ɪ n j uː n
chaegimitneun	k iː dʒ ɪ m ɪ t n j uː n
chaegimja	k iː dʒ ɪ m dʒ ə
chaegimjaimyeo	k iː dʒ ɪ m dʒ eɪ m ɪ eɪ əʊ
chaegimjayeotdeon	k iː dʒ ɪ m dʒ eɪ ɪ ɒ t d ɪ ə n
chaegimjeongchi	k iː dʒ ɪ m dʒ ɪ ɒ ŋ tʃ ɪ
chaegulhaneun	k iː ɡ ə l h a n j uː n
chaegwon	k iː ɡ w ʌ n
chaegwondani	k iː ɡ w ə n d ɑː n i
chaegwontuja	k iː ɡ w ɒ n t j uː dʒ ə
chaehyeolgwa	k iː h j əʊ l ɡ w ə
chaejibina	k iː dʒ ɪ b iː n ə
chaejipkkundeurin	k iː dʒ ɪ p k ʌ n d j uː ɹ ɪ n
chaek	k iː k
chaekdeulgwa	k iː k d j uː l ɡ w ə
chaekdeureseoneun	k iː k d j uː ɹ ɛ s ɪ əʊ n ʌ n
chaekdo	k iː k d əʊ
chaekgabang	k iː k ɡ ɐ b a ŋ
chaekgabangeul	k iː k ɡ ɐ b a n dʒ j uː l
chaekgeorieseoneun	k iː k dʒ ɪ ɒ ɹ ɪ s ɪ əʊ n ʌ n
chaekjareul	k iː k dʒ eə ɹ ʌ l
chaekjeong	k iː k dʒ ɪ ɒ ŋ
chaeksangeseo	k iː k s ɐ n dʒ ɪ s eɪ əʊ
chaelrinji	k eɪ l ɹ ɪ n dʒ i
chaemiok	k iː m ɪ ɒ k
chaemu	k iː m uː
chaemujeungmyeongseo	k iː m j uː dʒ j uː ŋ m j əʊ ŋ s eɪ əʊ
chaenggigiga	k iː ŋ dʒ ɪ dʒ ɪ ɡ ə
chaenggineun	k iː ŋ dʒ ɪ n j uː n
chaenggiryeo	k iː ŋ ɡ ə ɹ ɪ eɪ əʊ
chaenggyeobol	k iː ŋ dʒ j əʊ b ɒ l
chaenggyeotda	k iː ŋ dʒ j əʊ t d ə
chaeseo	k iː s ɪ əʊ
chaesosirui	k iː s ə s ɜː ɹ uː i
chaetaekdoeji	k iː t iː k d əʊ dʒ i
chaetaekhal	k iː t iː k h əl
