-o	ɔ
ameigavam	ɐ m eɪ ɡ a v ɐ̃ʊ̃
ameixa	ɐ m eɪ ʃ ɐ
amelia	ɐ m ɨ l i ɐ
amem	ɐ̃ m eɪ ŋ
amem-se	ɐ̃ m eɪ ŋ s ɨ
amemos	ɐ m e m ʊ ʃ
amen	ɐ̃ m eɪ ŋ
amena	ɐ m e n ɐ
amenas	ɐ m e n ɐ ʃ
amencá	ɐ m eɪ ŋ k a
amendoeira	ɐ m eɪ ŋ d u eɪ ɾ ɐ
amendoeiras	ɐ m eɪ ŋ d u eɪ ɾ ɐ ʃ
amenidade	ɐ m e n i d a d ɨ
amenisa	ɐ m ɨ n i z ɐ
amenise	ɐ m ɨ n i z ɨ
amenizadas	ɐ m e n i z a d ɐ ʃ
amenizar	ɐ m e n i z a ɹ
amenizava	ɐ m e n i z a v ɐ
ameno	ɐ m e n ʊ
amenos	ɐ m e n ʊ ʃ
amento	ɐ m eɪ ŋ t ʊ
ameníssima	ɐ m ɨ n i s i m ɐ
ameníssimo	ɐ m ɨ n i s i m ʊ
america	ɐ m ɨ ɾ i k ɐ
americana	ɐ m e ɾ i k ɐ̃ n ɐ
americanas	ɐ m e ɾ i k ɐ̃ n ɐ ʃ
americano	ɐ m e ɾ i k ɐ̃ n ʊ
americanos	ɐ m e ɾ i k ɐ̃ n ʊ ʃ
americanus	ɐ m e ɾ i k ɐ̃ n u ʃ
ames	ɐ̃ m ɨ ʃ
amesendando	ɐ m e z eɪ ŋ d ɐ̃ ŋ d ʊ
amesquinhado	ɐ m e ʃ k i ɲ a d ʊ
amesquinham	ɐ m ɨ ʃ k i ɲ ɐ̃ʊ̃
amesquinhar	ɐ m e ʃ k i ɲ a ɹ
amesquinhava	ɐ m e ʃ k i ɲ a v ɐ
amestrada	ɐ m ɨ ʃ t ɹ a d ɐ
amestradas	ɐ m ɨ ʃ t ɹ a d ɐ ʃ
amestrado	ɐ m ɨ ʃ t ɹ a d ʊ
amestrados	ɐ m ɨ ʃ t ɹ a d ʊ ʃ
ametista	ɐ m ɨ t i ʃ t ɐ
ametistas	ɐ m ɨ t i ʃ t ɐ ʃ
amezendra	ɐ m ɨ z eɪ ŋ d ɹ ɐ
amieiros	ɐ m i eɪ ɾ ʊ ʃ
amifade	ɐ m i f a d ɨ
amiga	ɐ m i ɡ ɐ
amigada	ɐ m i ɡ a d ɐ
amigados	ɐ m i ɡ a d ʊ ʃ
amigalhaço	ɐ m i ɡ ɐ ʎ a s ʊ
amigas	ɐ m i ɡ ɐ ʃ
amigavelmente	ɐ m i ɡ ɐ v ɨ l m eɪ ŋ t ɨ
amigação	ɐ m i ɡ ɐ s ɐ̃ʊ̃
amiginho	ɐ m i ʒ i ɲ ʊ
amigo	ɐ m i ɡ ʊ
amigos	ɐ m i ɡ ʊ ʃ
amiguinha	ɐ m i ɡ i ɲ ɐ
amiguinho	ɐ m i ɡ i ɲ ʊ
amiguinhos	ɐ m i ɡ i ɲ ʊ ʃ
amigáveis	ɐ m i ɡ a v eɪ ʃ
amigável	ɐ m i ɡ a v ɛ l
amilkau	ɐ m i l k aʊ
amima	ɐ m i m ɐ
amimada	ɐ m i m a d ɐ
amimado	ɐ m i m a d ʊ
amimar	ɐ m i m a ɹ
amimou	ɐ m i m o w
amimá	ɐ m i m a
amisade	ɐ m i z a d ɨ
amistosos	ɐ m i ʃ t ɔ z ʊ ʃ
amiudadas	ɐ m j u d a d ɐ ʃ
amiudando	ɐ m j u d ɐ̃ ŋ d ʊ
amiudaram-se	ɐ m j u d a ɾ ɐ̃ʊ̃ s ɨ
amiudei	ɐ m j u d eɪ
amiudou	ɐ m j u d o w
amizade	ɐ m i z a d ɨ
amizades	ɐ m i z a d ɨ ʃ
amiúdam	ɐ m i u d ɐ̃ʊ̃
amiúdo	ɐ m i u d ʊ
amniota	ɐ̃ m n i ɔ t ɐ
amnistia	ɐ̃ m n i ʃ t i ɐ
amo	ɐ̃ m ʊ
amo-a	ɐ̃ m ʊ a
amo-te	ɐ̃ m ʊ t ɨ
amodorradas	ɐ m u d u ʁ a d ɐ ʃ
amoedara	ɐ m u ɨ d a ɾ ɐ
amofina	ɐ m u f i n ɐ
amofinado	ɐ m u f i n a d ʊ
amofinaram	ɐ m u f i n a ɾ ɐ̃ʊ̃
amofinava	ɐ m u f i n a v ɐ
amofinações	ɐ m u f i n ɐ s õ j ʃ
amoi	ɐ m oɪ
amolador	ɐ m u l ɐ d o ɹ
amolam	ɐ m ɔ l ɐ̃ʊ̃
amolando	ɐ m u l ɐ̃ ŋ d ʊ
amolavam	ɐ m u l a v ɐ̃ʊ̃
amolação	ɐ m u l ɐ s ɐ̃ʊ̃
amoldara	ɐ m u l d a ɾ ɐ
amoldasse	ɐ m u l d a s ɨ
amoldou	ɐ m u l d o w
amole	ɐ m ɔ l ɨ
amolece	ɐ m u l ɛ s ɨ
amolecedora	ɐ m u l ɨ s ɨ d o ɾ ɐ
amolecedoramente	ɐ m u l ɨ s e d u ɾ ɐ m eɪ ŋ t ɨ
amolecem	ɐ m u l ɛ s eɪ ŋ
amolecendo	ɐ m u l ɨ s eɪ ŋ d ʊ
amolecer	ɐ m u l ɨ s e ɹ
amolecia	ɐ m u l ɨ s i ɐ
amolecidas	ɐ m u l ɨ s i d ɐ ʃ
amolecido	ɐ m u l ɨ s i d ʊ
amolecidos	ɐ m u l ɨ s i d ʊ ʃ
amolecimento	ɐ m u l ɨ s i m eɪ ŋ t ʊ
amolentada	ɐ m u l eɪ ŋ t a d ɐ
amolentado	ɐ m u l eɪ ŋ t a d ʊ
amolentar	ɐ m u l eɪ ŋ t a ɹ
amolentasse	ɐ m u l eɪ ŋ t a s ɨ
amolgada	ɐ m u l ɡ a d ɐ
amollecendo	ɐ m u l ɨ s eɪ ŋ d ʊ
amollecessem	ɐ m u l ɨ s e s eɪ ŋ
amolleceu	ɐ m u l ɨ s eʊ
amollecido	ɐ m u l ɨ s i d ʊ
amon	ɐ̃ m o ŋ
amontoa	ɐ m u ŋ t o ɐ
amontoadas	ɐ m u ŋ t u a d ɐ ʃ
amontoado	ɐ m u ŋ t u a d ʊ
amontoados	ɐ m u ŋ t u a d ʊ ʃ
amontoam	ɐ m u ŋ t o ɐ̃ʊ̃
amontoamento	ɐ m u ŋ t u ɐ m eɪ ŋ t ʊ
amontoando	ɐ m u ŋ t u ɐ̃ ŋ d ʊ
amontoando-se	ɐ m u ŋ t u ɐ̃ ŋ d ʊ s ɨ
amontoar	ɐ m u ŋ t u a ɹ
amontoavam	ɐ m u ŋ t u a v ɐ̃ʊ̃
amontoação	ɐ m u ŋ t u ɐ s ɐ̃ʊ̃
amoníaco	ɐ m u n i ɐ k ʊ
amor	ɐ m o ɹ
amor-proprio	ɐ m o ɹ p ɹ u p ɹ iʊ
amor-próprio	ɐ m o ɹ p ɹ ɔ p r j ʊ
amoravel	ɐ m u ɾ a v ɛ l
amordaça	ɐ m u ɾ ə d a s ɐ
amordaçado	ɐ m u ɾ ə d ɐ s a d ʊ
amordaçar	ɐ m u ɾ ə d ɐ s a ɹ
amoreiras	ɐ m u ɾ eɪ ɾ ɐ ʃ
amorenada	ɐ m u ɾ ɨ n a d ɐ
amorenou	ɐ m u ɾ ɨ n o w
amores	ɐ m o ɾ ɨ ʃ
amorfas	ɐ m ɔ ɾ ə f ɐ ʃ
amorfia	ɐ m u ɾ ə f i ɐ
amorim	ɐ m u ɾ i ŋ
amorinho	ɐ m u ɾ i ɲ ʊ
amorinhos	ɐ m u ɾ i ɲ ʊ ʃ
amorios	ɐ m u ɾ iʊ ʃ
amorosa	ɐ m u ɾ ɔ z ɐ
amorosamente	ɐ m u ɾ u z ɐ m eɪ ŋ t ɨ
amorosas	ɐ m u ɾ ɔ z ɐ ʃ
amoroso	ɐ m u ɾ o z ʊ
amorosos	ɐ m u ɾ ɔ z ʊ ʃ
amorosíssimo	ɐ m u ɾ u z i s i m ʊ
amorperfeito	ɐ m u ɾ ə p ɨ ɾ ə f eɪ t ʊ
amorpróprio	ɐ m u ɾ ə p ɹ ɔ p r j ʊ
amorr	ɐ̃ m o r
amorreu	ɐ m u ʁ eʊ
amortalhada	ɐ m u ɾ ə t ɐ ʎ a d ɐ
amortalhadas	ɐ m u ɾ ə t ɐ ʎ a d ɐ ʃ
amortalhado	ɐ m u ɾ ə t ɐ ʎ a d ʊ
amortalhar	ɐ m u ɾ ə t ɐ ʎ a ɹ
amortalharem	ɐ m u ɾ ə t ɐ ʎ a ɾ eɪ ŋ
amortalhassem	ɐ m u ɾ ə t ɐ ʎ a s eɪ ŋ
amortalhei	ɐ m u ɾ ə t ɐ ʎ eɪ
amortalhámos	ɐ m u ɾ ə t ɐ ʎ a m ʊ ʃ
amortalháraõ	ɐ m u ɾ ə t ɐ ʎ a ɾ ɐ õ
amortalhárão	ɐ m u ɾ ə t ɐ ʎ a ɾ ɐ̃ʊ̃
amortece	ɐ m u ɾ ə t ɛ s ɨ
amortecem	ɐ m u ɾ ə t ɛ s eɪ ŋ
amortecendo	ɐ m u ɾ ə t ɨ s eɪ ŋ d ʊ
amortecer	ɐ m u ɾ ə t ɨ s e ɹ
amortecesse	ɐ m u ɾ ə t ɨ s e s ɨ
amorteceu	ɐ m u ɾ ə t ɨ s eʊ
amortecia	ɐ m u ɾ ə t ɨ s i ɐ
amorteciam	ɐ m u ɾ ə t ɨ s i ɐ̃ʊ̃
amortecida	ɐ m u ɾ ə t ɨ s i d ɐ
amortecidas	ɐ m u ɾ ə t ɨ s i d ɐ ʃ
amortecido	ɐ m u ɾ ə t ɨ s i d ʊ
amortecidos	ɐ m u ɾ ə t ɨ s i d ʊ ʃ
amorteça	ɐ m u ɾ ə t e s ɐ
amortização	ɐ m u ɾ ə t i z ɐ s ɐ̃ʊ̃
amorzinho	ɐ m u ɾ ə z i ɲ ʊ
amorável	ɐ m u ɾ a v ɛ l
amos	ɐ̃ m ʊ ʃ
amostra	ɐ m ɔ ʃ t ɹ ɐ
amostras	ɐ m ɔ ʃ t ɹ ɐ ʃ
amotina	ɐ m u t i n ɐ
amotinada	ɐ m u t i n a d ɐ
amotinado	ɐ m u t i n a d ʊ
amotinados	ɐ m u t i n a d ʊ ʃ
amou	ɐ m o w
amour	ɐ m o w ɹ
amoção	ɐ m u s ɐ̃ʊ̃
ampara	ɐ̃ m p a ɾ ɐ
amparada	ɐ̃ m p ɐ ɾ a d ɐ
amparadas	ɐ̃ m p ɐ ɾ a d ɐ ʃ
amparado	ɐ̃ m p ɐ ɾ a d ʊ
amparados	ɐ̃ m p ɐ ɾ a d ʊ ʃ
amparam	ɐ̃ m p a ɾ ɐ̃ʊ̃
amparando	ɐ̃ m p ɐ ɾ ɐ̃ ŋ d ʊ
amparar	ɐ̃ m p ɐ ɾ a ɹ
ampararam	ɐ̃ m p ɐ ɾ a ɾ ɐ̃ʊ̃
ampararia	ɐ̃ m p ɐ ɾ ɐ ɾ i ɐ
amparasse	ɐ̃ m p ɐ ɾ a s ɨ
amparava	ɐ̃ m p ɐ ɾ a v ɐ
ampare	ɐ̃ m p a ɾ ɨ
ampareime	ɐ̃ m p ɐ ɾ eɪ m ɨ
amparo	ɐ̃ m p a ɾ ʊ
amparos	ɐ̃ m p a ɾ ʊ ʃ
amparou	ɐ̃ m p ɐ ɾ o w
ampará	ɐ̃ m p ɐ ɾ a
amphibio	ɐ̃ m f i b iʊ
amphichonico	ɐ̃ m f i ʃ u n i k ʊ
amphiclyonico	ɐ̃ m f i k l j u n i k ʊ
amphictyonica	ɐ̃ m f i t j u n i k ɐ
amphidyoes	ɐ̃ m f i d j o ɨ ʃ
amphiffa	ɐ̃ m f i f ɐ
amphiffenfes	ɐ̃ m f i f eɪ ŋ f ɨ ʃ
amphiflenfes	ɐ̃ m f i f l eɪ ŋ f ɨ ʃ
amphiftyões	ɐ̃ m f i f t j õ j ʃ
amphiltenfes	ɐ̃ m f i l t eɪ ŋ f ɨ ʃ
amphiélyonicos	ɐ̃ m f j ɛ l j u n i k ʊ ʃ
amphiífa	ɐ̃ m f j i f ɐ
amphiíta	ɐ̃ m f j i t ɐ
amphiólyões	ɐ̃ m f i ɔ l j õ j ʃ
amphytrião	ɐ̃ m f i t ɹ i ɐ̃ʊ̃
ampiões	ɐ̃ m p i õ j ʃ
ampla	ɐ̃ m p l ɐ
amplamente	ɐ̃ m p l ɐ m eɪ ŋ t ɨ
amplas	ɐ̃ m p l ɐ ʃ
amplexo	ɐ̃ m p l ɛ k s ʊ
amplia	ɐ̃ m p l i ɐ
ampliadas	ɐ̃ m p l i a d ɐ ʃ
ampliam	ɐ̃ m p l i ɐ̃ʊ̃
ampliando	ɐ̃ m p l i ɐ̃ ŋ d ʊ
ampliar	ɐ̃ m p l i a ɹ
ampliara	ɐ̃ m p l i a ɾ ɐ
ampliarei	ɐ̃ m p l i ɐ ɾ eɪ
ampliavalhe	ɐ̃ m p l i ɐ v a ʎ ɨ
ampliavam	ɐ̃ m p l i a v ɐ̃ʊ̃
ampliação	ɐ̃ m p l i ɐ s ɐ̃ʊ̃
amplidão	ɐ̃ m p l i d ɐ̃ʊ̃
amplificam	ɐ̃ m p l i f i k ɐ̃ʊ̃
amplificação	ɐ̃ m p l i f i k ɐ s ɐ̃ʊ̃
amplificações	ɐ̃ m p l i f i k ɐ s õ j ʃ
ampliiclyões	ɐ̃ m p l i i k l j õ j ʃ
ampliou	ɐ̃ m p l i o w
amplitude	ɐ̃ m p l i t u d ɨ
amplitudes	ɐ̃ m p l i t u d ɨ ʃ
amplo	ɐ̃ m p l ʊ
amplos	ɐ̃ m p l ʊ ʃ
amplíssima	ɐ̃ m p l i s i m ɐ
amplíssimo	ɐ̃ m p l i s i m ʊ
amplíssimos	ɐ̃ m p l i s i m ʊ ʃ
amputadas	ɐ̃ m p u t a d ɐ ʃ
amputar	ɐ̃ m p u t a ɹ
amputava-me	ɐ̃ m p u t a v ɐ m ɨ
amschit	ɐ̃ m s ʃ i t
amuado	ɐ m u a d ʊ
amuava	ɐ m u a v ɐ
amuel	ɐ m u ɛ l
amuleto	ɐ m u l e t ʊ
amuletos	ɐ m u l e t ʊ ʃ
amuo	ɐ m u ʊ
amuos	ɐ m u ʊ ʃ
amuou	ɐ m w o w
amurada	ɐ m u ɾ a d ɐ
amá	ɐ̃ m a
amá-la	ɐ̃ m a l ɐ
amá-lo	ɐ̃ m a l ʊ
amália	ɐ m ɑ l j ɐ
amálogo	ɐ m ɑ l u ɡ ʊ
amámos	ɐ m a m ʊ ʃ
amára	ɐ m a ɾ ɐ
amásia	ɐ m a z j ɐ
amáveis	ɐ m a v eɪ ʃ
amável	ɐ m a v ɛ l
amância	ɐ m ɐ̃ ŋ s j ɐ
amãe	ɐ m ɐ̃ j
amém	ɐ̃ m eɪ ŋ
américa	ɐ m ɛ ɾ i k ɐ
américas	ɐ m ɛ ɾ i k ɐ ʃ
américo	ɐ m ɛ ɾ i k ʊ
amêndoa	ɐ m eɪ ŋ d u ɐ
amêndoas	ɐ m eɪ ŋ d u ɐ ʃ
amíbos	ɐ m i b ʊ ʃ
amós	ɐ̃ m ɔ ʃ
amôbinhê	ɐ m o b i ɲ e
an	ɐ̃ ŋ
ana	ɐ̃ n ɐ
anacardium	ɐ n ɐ k ɐ ɾ ə d i ũ ŋ
anacoreta	ɐ n ɐ k u ɾ ɛ t ɐ
anacreontica	ɐ n ɐ k ɹ i u ŋ t i k ɐ
anacronismo	ɐ n ɐ k ɹ u n i ʒ m ʊ
anacronismos	ɐ n ɐ k ɹ u n i ʒ m ʊ ʃ
anacrônico	ɐ n ɐ k ɹ o n i k ʊ
anacrônicos	ɐ n ɐ k ɹ o n i k ʊ ʃ
anafado	ɐ n ɐ f a d ʊ
anafados	ɐ n ɐ f a d ʊ ʃ
anafis	ɐ n ɐ f i ʃ
anagramas	ɐ n ɐ ɡ ɹ ɐ̃ m ɐ ʃ
anagógico	ɐ n ɐ ɡ ɔ ʒ i k ʊ
anais	ɐ n aɪ ʃ
anaiyse	ɐ n aɪ i z ɨ
anajê	ɐ n ɐ ʒ e
analfabeto	ɐ n ɑ l f ɐ b ɛ t ʊ
analfabetos	ɐ n ɑ l f ɐ b ɛ t ʊ ʃ
analisa	ɐ n ɐ l i z ɐ
analisava	ɐ n ɐ l i z a v ɐ
analisemos	ɐ n ɐ l i z e m ʊ ʃ
analisou	ɐ n ɐ l i z o w
analista	ɐ n ɐ l i ʃ t ɐ
analistas	ɐ n ɐ l i ʃ t ɐ ʃ
analisá-lo	ɐ n ɐ l i z a l ʊ
analiticamente	ɐ n ɐ l i t i k ɐ m eɪ ŋ t ɨ
analoga	ɐ n ɐ l ɔ ɡ ɐ
analogas	ɐ n ɐ l ɔ ɡ ɐ ʃ
analogia	ɐ n ɐ l u ʒ i ɐ
analogo	ɐ n ɐ l ɔ ɡ ʊ
analysa	ɐ n ɐ l i z ɐ
analysando	ɐ n ɐ l i z ɐ̃ ŋ d ʊ
analyse	ɐ n ɐ l i z ɨ
analyses	ɐ n ɐ l i z ɨ ʃ
analysta	ɐ n ɐ l i ʃ t ɐ
analytico	ɐ n ɐ l i t i k ʊ
analítica	ɐ n ɐ l i t i k ɐ
anama	ɐ n ɐ̃ m ɐ
ananases	ɐ n ɐ n a z ɨ ʃ
ananaz	ɐ n ɐ̃ n a ʃ
anando	ɐ n ɐ̃ ŋ d ʊ
ananás	ɐ n ɐ̃ n a ʃ
anarquia	ɐ n ɐ ɾ ə k i ɐ
anarquista	ɐ n ɐ ɾ ə k i ʃ t ɐ
anasarca	ɐ n ɐ z a ɾ ə k ɐ
anastam	ɐ n a ʃ t ɐ̃ʊ̃
anastomosam	ɐ n ɐ ʃ t u m ɔ z ɐ̃ʊ̃
anastomosar	ɐ n ɐ ʃ t u m u z a ɹ
anastomoses	ɐ n ɐ ʃ t u m ɔ z ɨ ʃ
anastácio	ɐ n ɐ ʃ t a s j ʊ
anatema	ɐ n ɐ t e m ɐ
anathemas	ɐ n a θ ə m ə z
anatole	ɐ n ɐ t ɔ l ɨ
anatoles	ɐ n ɐ t ɔ l ɨ ʃ
anatomia	ɐ n ɐ t u m i ɐ
anatomista	ɐ n ɐ t u m i ʃ t ɐ
anatômica	ɐ n ɐ t o m i k ɐ
anatômicas	ɐ n ɐ t o m i k ɐ ʃ
anatômicos	ɐ n ɐ t o m i k ʊ ʃ
anavalhado	ɐ n ɐ v ɐ ʎ a d ʊ
anaximandro	ɐ n ɐ k s i m ɐ̃ ŋ d ɹ ʊ
anaxino	ɐ n ɐ k s i n ʊ
anca	ɐ̃ ŋ k ɐ
ancas	ɐ̃ ŋ k ɐ ʃ
ance	ɐ̃ ŋ s ɨ
anceia	ɐ̃ ŋ s eɪ ɐ
anceio	ɐ̃ ŋ s eɪ ʊ
anceios	ɐ̃ ŋ s eɪ ʊ ʃ
ancestraes	ɐ̃ ŋ s ɨ ʃ t ɹ a ɨ ʃ
ancestrais	ɐ̃ ŋ s ɨ ʃ t ɹ aɪ ʃ
ancestral	ɐ̃ ŋ s ɨ ʃ t ɹ ɑ l
anchas	ɐ̃ ŋ ʃ ɐ ʃ
anchieta	ɐ̃ ŋ ʃ i e t ɐ
anchietas	ɐ̃ ŋ ʃ i e t ɐ ʃ
ancho	ɐ̃ ŋ ʃ ʊ
anchos	ɐ̃ ŋ ʃ ʊ ʃ
ancia	ɐ̃ ŋ s i ɐ
anciado	ɐ̃ ŋ s i a d ʊ
ancian	ɐ̃ ŋ s i ɐ̃ ŋ
anciando	ɐ̃ ŋ s i ɐ̃ ŋ d ʊ
ancias	ɐ̃ ŋ s i ɐ ʃ
anciava	ɐ̃ ŋ s i a v ɐ
anciedade	ɐ̃ ŋ s i ɨ d a d ɨ
ancillas	ɐ̃ ŋ s i l ɐ ʃ
ancilóstomo	ɐ̃ ŋ s i l ɔ ʃ t u m ʊ
ancinho	ɐ̃ ŋ s i ɲ ʊ
anciosa	ɐ̃ ŋ s i ɔ z ɐ
anciosamente	ɐ̃ ŋ s i u z ɐ m eɪ ŋ t ɨ
ancioso	ɐ̃ ŋ s i o z ʊ
anciosos	ɐ̃ ŋ s i ɔ z ʊ ʃ
anciã	ɐ̃ ŋ s i ɐ̃
ancião	ɐ̃ ŋ s i ɐ̃ʊ̃
anciãos	ɐ̃ ŋ s i ɐ̃ʊ̃ ʃ
anciãs	ɐ̃ ŋ s i ɐ̃ ʃ
ancora	ɐ̃ ŋ k ɔ ɾ ɐ
ancoradouro	ɐ̃ ŋ k u ɾ ɐ d o w ɾ ʊ
ancorando	ɐ̃ ŋ k u ɾ ɐ̃ ŋ d ʊ
ancorar	ɐ̃ ŋ k u ɾ a ɹ
ancoravam	ɐ̃ ŋ k u ɾ a v ɐ̃ʊ̃
ancorou	ɐ̃ ŋ k u ɾ o w
anctimas	ɐ̃ ŋ k t i m ɐ ʃ
and	ɐ̃ ŋ d
anda	ɐ̃ ŋ d ɐ
andado	ɐ̃ ŋ d a d ʊ
andador	ɐ̃ ŋ d ɐ d o ɹ
andadura	ɐ̃ ŋ d ɐ d u ɾ ɐ
andaes	ɐ̃ ŋ d a ɨ ʃ
andai	ɐ̃ ŋ d aɪ
andaimes	ɐ̃ ŋ d aɪ m ɨ ʃ
andais	ɐ̃ ŋ d aɪ ʃ
andaluz	ɐ̃ ŋ d ɐ l u ʃ
andaluzas	ɐ̃ ŋ d ɐ l u z ɐ ʃ
andaluzia	ɐ̃ ŋ d ɐ l u z i ɐ
andam	ɐ̃ ŋ d ɐ̃ʊ̃
andamento	ɐ̃ ŋ d ɐ m eɪ ŋ t ʊ
andamentos	ɐ̃ ŋ d ɐ m eɪ ŋ t ʊ ʃ
andamos	ɐ̃ ŋ d ɐ̃ m ʊ ʃ
andando	ɐ̃ ŋ d ɐ̃ ŋ d ʊ
andante	ɐ̃ ŋ d ɐ̃ ŋ t ɨ
andantes	ɐ̃ ŋ d ɐ̃ ŋ t ɨ ʃ
andar	ɐ̃ ŋ d a ɹ
andara	ɐ̃ ŋ d a ɾ ɐ
andarai	ɐ̃ ŋ d ɐ ɾ aɪ
andaram	ɐ̃ ŋ d a ɾ ɐ̃ʊ̃
andaraí	ɐ̃ ŋ d ɐ ɾ ɐ i
andarem	ɐ̃ ŋ d a ɾ eɪ ŋ
andaremos	ɐ̃ ŋ d ɐ ɾ e m ʊ ʃ
andares	ɐ̃ ŋ d a ɾ ɨ ʃ
andaria	ɐ̃ ŋ d ɐ ɾ i ɐ
andariam	ɐ̃ ŋ d ɐ ɾ i ɐ̃ʊ̃
andará	ɐ̃ ŋ d ɐ ɾ a
andarás	ɐ̃ ŋ d ɐ ɾ a ʃ
andarão	ɐ̃ ŋ d ɐ ɾ ɐ̃ʊ̃
andas	ɐ̃ ŋ d ɐ ʃ
andasse	ɐ̃ ŋ d a s ɨ
andassem	ɐ̃ ŋ d a s eɪ ŋ
andassemos	ɐ̃ ŋ d ɐ s e m ʊ ʃ
andaste	ɐ̃ ŋ d a ʃ t ɨ
andava	ɐ̃ ŋ d a v ɐ
andavam	ɐ̃ ŋ d a v ɐ̃ʊ̃
andavas	ɐ̃ ŋ d a v ɐ ʃ
andavão	ɐ̃ ŋ d ɐ v ɐ̃ʊ̃
andaíte	ɐ̃ ŋ d ɐ i t ɨ
ande	ɐ̃ ŋ d ɨ
andei	ɐ̃ ŋ d eɪ
andem	ɐ̃ ŋ d eɪ ŋ
andemos	ɐ̃ ŋ d e m ʊ ʃ
andes	ɐ̃ ŋ d ɨ ʃ
andira	ɐ̃ ŋ d i ɾ ɐ
andiroba	ɐ̃ ŋ d i ɾ o b ɐ
andiára	ɐ̃ ŋ d i a ɾ ɐ
ando	ɐ̃ ŋ d ʊ
andor	ɐ̃ ŋ d o ɹ
andores	ɐ̃ ŋ d o ɾ ɨ ʃ
andorinha	ɐ̃ ŋ d u ɾ i ɲ ɐ
andorinhas	ɐ̃ ŋ d u ɾ i ɲ ɐ ʃ
andou	ɐ̃ ŋ d o w
andrada	ɐ̃ ŋ d ɹ a d ɐ
andradas	ɐ̃ ŋ d ɹ a d ɐ ʃ
andrade	ɐ̃ ŋ d ɹ a d ɨ
andrajo	ɐ̃ ŋ d ɹ a ʒ ʊ
andrajos	ɐ̃ ŋ d ɹ a ʒ ʊ ʃ
andrajosa	ɐ̃ ŋ d ɹ ɐ ʒ ɔ z ɐ
andrajosas	ɐ̃ ŋ d ɹ ɐ ʒ ɔ z ɐ ʃ
andrajoso	ɐ̃ ŋ d ɹ ɐ ʒ o z ʊ
andrajosos	ɐ̃ ŋ d ɹ ɐ ʒ ɔ z ʊ ʃ
andrezinho	ɐ̃ ŋ d ɹ ɨ z i ɲ ʊ
androvna	ɐ̃ ŋ d ɹ o v n ɐ
andré	ɐ̃ ŋ d ɹ ɛ
andréa	ɐ̃ ŋ d ɹ ɛ ɐ
andá	ɐ̃ ŋ d a
andára	ɐ̃ ŋ d a ɾ ɐ
andávamos	ɐ̃ ŋ d a v ɐ m ʊ ʃ
andão	ɐ̃ ŋ d ɐ̃ʊ̃
anecdota	ɐ n ɛ k d ɔ t ɐ
anecdotas	ɐ n ɛ k d ɔ t ɐ ʃ
anecdó	ɐ n ɛ k d ɔ
anecdóta	ɐ n ɛ k d ɔ t ɐ
anecdótas	ɐ n ɛ k d ɔ t ɐ ʃ
anedoctas	ɐ n ɨ d o t ɐ ʃ
anedota	ɐ n ɨ d ɔ t ɐ
anedotas	ɐ n ɨ d ɔ t ɐ ʃ
anedótico	ɐ n ɨ d ɔ t i k ʊ
anegrado	ɐ n ɨ ɡ ɹ a d ʊ
aneiro	ɐ n eɪ ɾ ʊ
anel	ɐ̃ n ɛ l
anela	ɐ n ɛ l ɐ
anelada	ɐ n ɨ l a d ɐ
aneladas	ɐ n ɨ l a d ɐ ʃ
anelado	ɐ n ɨ l a d ʊ
anelados	ɐ n ɨ l a d ʊ ʃ
anelam	ɐ n ɛ l ɐ̃ʊ̃
anelava	ɐ n ɨ l a v ɐ
anelo	ɐ n ɛ l ʊ
anelos	ɐ n ɛ l ʊ ʃ
anelou	ɐ n ɨ l o w
anelão	ɐ n ɨ l ɐ̃ʊ̃
anemia	ɐ n ɨ m i ɐ
anemias	ɐ n ɨ m i ɐ ʃ
anemico	ɐ n ɨ m i k ʊ
anemômetro	ɐ n ɨ m o m ɨ t ɹ ʊ
anemômetros	ɐ n ɨ m o m ɨ t ɹ ʊ ʃ
aner	ɐ n e ɹ
aneróide	ɐ n ɨ ɾ ɔɪ d ɨ
aneróides	ɐ n ɨ ɾ ɔɪ d ɨ ʃ
anestesia	ɐ n e ʃ t ɨ z i ɐ
anestesiara	ɐ n e ʃ t ɨ z i a ɾ ɐ
anestesiou	ɐ n e ʃ t ɨ z i o w
aneurisma	ɐ n eʊ ɾ i ʒ m ɐ
anexa	ɐ n ɛ k s ɐ
anexar	ɐ n ɨ k s a ɹ
anexas	ɐ n ɛ k s ɐ ʃ
anexavam	ɐ n ɨ k s a v ɐ̃ʊ̃
anexo	ɐ n ɛ k s ʊ
anexos	ɐ n ɛ k s ʊ ʃ
anfigonia	ɐ̃ ŋ f i ɡ u n i ɐ
anfiteatro	ɐ̃ ŋ f i t i a t ɹ ʊ
anfitrião	ɐ̃ ŋ f i t ɹ i ɐ̃ʊ̃
anfióxus	ɐ̃ ŋ f i ɔ k s u ʃ
anfractuosidades	ɐ̃ ŋ f ɹ ɐ t w u z i d a d ɨ ʃ
anfíbia	ɐ̃ ŋ f i b j ɐ
anfíbios	ɐ̃ ŋ f i b j ʊ ʃ
anga	ɐ̃ ŋ ɡ ɐ
angai	ɐ̃ ŋ ɡ aɪ
angarahy	ɐ̃ ŋ ɡ ɐ ɾ a i
angarial	ɐ̃ ŋ ɡ ɐ ɾ i ɑ l
