'l	ɛ l l e
cresceranno	k r e ʃ e r a n n o
crescere	k r e ʃ e r e
crescerete	k r e ʃ e r e t e
crescersi	k r e ʃ e r s ɪ
crescerà	k r e ʃ e ɾ a
crescerò	k r e ʃ e ɾ ɔ
crescesse	k r e ʃ ɛ ss e
crescessero	k r e ʃ e ss e r o
cresceste	k r e ʃ ɛ s t e
crescesti	k r e ʃ ɛ s t ɪ
crescete	k r e ʃ e t e
cresceva	k r e ʃ ɛ v a
crescevamo	k r e ʃ e v a m o
crescevano	k r e ʃ e v a n o
crescevi	k r e ʃ ɛ v ɪ
crescevo	k r e ʃ ɛ v o
cresci	k r e ʃ ɪ
cresciemi	k r e ʃ e m ɪ
crescione	k r e ʃ o n e
cresciuta	k r e ʃ u t a
cresciute	k r e ʃ u t e
cresciuti	k r e ʃ u t ɪ
cresciuto	k r e ʃ u t o
cresciutogli	k r e ʃ ʊ t o ʎ ɪ
cresco	k r e s k o
crescon	k r e s k o n
crescono	k r e s k o n o
cresee	k r e z ɛ e
cresi	k r ɛ z ɪ
cresimati	k r e z i m a t ɪ
creso	k r ɛ z o
crespa	k r e s p a
crespava	k r e s p a v a
crespe	k r e s p e
crespi	k r e s p ɪ
crespignolo	k r e s p i ɲ o l o
crespo	k r e s p o
cresta	k r e s t a
crestaia	k r e s t a i a
crestaie	k r e s t a j e
crestati	k r e s t a t ɪ
creste	k r e s t e
crestuti	k r e s t u t ɪ
crestuto	k r e s t u t o
creta	k r ɛ t a
cretaccia	k r e t a tʃː a
cretacei	k r e t a tʃ e i
cretense	k r e t ɛ n s e
creti	k r ɛ t ɪ
cretini	k r e t i n ɪ
cretino	k r e t i n o
cretosa	k r e t o z a
cretose	k r e t o z e
cretosi	k r e t ɔ z ɪ
cretoso	k r e t o z o
creusa	k r e u z a
creusot	k r e u z o t
crevaison	k r e v aɪ z o n
crezia	k r ɛ ts i a
creò	k r e ɔ
cri	k r i
cria	k r i a
criata	k r i a t a
criate	k r i a t e
criato	k r i a t o
criatura	k r i a t u r a
criature	k r i a t u r e
cricch	k r i kː
cricche	k r i kː e
cricchi	k r i kː ɪ
cricchiar	k r i kː j a r
cricchio	k r i kː i o
cricco	k r i kː o
criderà	k r i d e ɾ a
crido	k r i d o
crimea	k r i m ɛ a
criminale	k r i m i n a l e
criminali	k r i m i n a l ɪ
crin	k r i n
crine	k r i n e
crinelli	k r i n ɛ l l ɪ
crini	k r i n ɪ
criniera	k r i n i ɛ r a
criniere	k r i n i ɛ r e
crinoline	k r i n o l i n e
crippa	k r i pː a
crisalide	k r i z a l i d e
crisalidi	k r i z a l i d ɪ
crisantemi	k r i z a n t e m ɪ
crisciuta	k r i ʃ u t a
crise	k r i z e
crisi	k r i z ɪ
crisippo	k r i z i pː o
crisostomo	k r i z ɔ s t o m o
crispino	k r i s p i n o
crispo	k r i s p o
crispucci	k r i s p u tʃː ɪ
cristal	k r i s t a l
cristallami	k r i s t a l l a m ɪ
cristalleria	k r i s t a l l e r i a
cristalli	k r i s t a l l ɪ
cristallina	k r i s t a l l i n a
cristalline	k r i s t a l l i n e
cristallini	k r i s t a l l i n ɪ
cristallino	k r i s t a l l i n o
cristallizzano	k r i s t a l l i dzː a n o
cristallo	k r i s t a l l o
cristi	k r i s t ɪ
cristian	k r i s t j a n
cristiana	k r i s t j a n a
cristianamente	k r i s t j a n a m e n t e
cristianello	k r i s t j a n ɛ l l o
cristianesimo	k r i s t j a n eː z i m o
cristianesmo	k r i s t j a n e z m o
cristiani	k r i s t j a n ɪ
cristiania	k r i s t j a n i a
cristianissimo	k r i s t j a n i ss i m o
cristiano	k r i s t j a n o
cristina	k r i s t i n a
cristinella	k r i s t i n ɛ l l a
cristo	k r i s t o
cristofano	k r i s t o f a n o
cristoforo	k r i s t ɔ f o r o
cristophle	k r i s t o f l e
cristïano	k r i s t j a n o
criteri	k r i t ɛ r ɪ
criterii	k r i t e r ɪː j
criterio	k r i t ɛ r i o
critica	k r i t i k a
criticando	k r i t i k a n d o
criticare	k r i t i k a r e
critiche	k r i t i k e
critici	k r i t i tʃ ɪ
critico	k r i t i k o
critique	k r i t i k w e
crittogame	k r i tː o ɡ a m e
crivella	k r i v ɛ l l a
crivello	k r i v ɛ l l o
criàtore	k r i a t o r e
crncciata	tʃ i ɛ r ɾ e n tʃː a t a
croazia	k r o a ts i a
crocca	k r ɔ kː a
crocchi	k r o kː ɪ
crocchia	k r o kː i a
crocchiando	k r o kː j a n d o
crocchiar	k r o kː j a r
crocchiare	k r o kː j a r e
crocchiarono	k r o kː j a r o n o
crocchio	k r o kː i o
croce	k r o tʃ e
crocefisso	k r o tʃ e f i ss o
crocetta	k r o tʃ e tː a
crocettina	k r o tʃ e tː i n a
crocevia	k r o tʃ e v i a
croci	k r o tʃ ɪ
crociate	k r o tʃ a t e
crocicchio	k r o tʃ i kː i o
crociera	k r o tʃ ɛ r a
crocifero	k r o tʃ i f e r o
crocifissa	k r o tʃ i f i ss a
crocifisso	k r o tʃ i f i ss o
crocina	k r o tʃ i n a
crocione	k r o tʃ o n e
crocè	k r o tʃ ɛ
crogiolarsi	k r o dʒ o l a r s ɪ
crogiolava	k r o dʒ o l a v a
crogiuola	k r o dʒ ʊ ɔ l a
crolla	k r ɔ l l a
crollamenti	k r o l l a m e n t ɪ
crollando	k r o l l a n d o
crollano	k r ɔ l l a n o
crollare	k r o l l a r e
crollarsi	k r o l l a r s ɪ
crollasse	k r o l l a ss e
crollata	k r o l l a t a
crollatala	k r o l l a t a l a
crollatasi	k r o l l a t a z ɪ
crollate	k r o l l a t e
crollatina	k r o l l a t i n a
crollato	k r o l l a t o
crollava	k r o l l a v a
crollavano	k r o l l a v a n o
crollerebbe	k r o l l e r ɛ bː e
crolli	k r ɔ l l ɪ
crollo	k r ɔ l l o
crollonne	k r o l l ɔ n n e
crollò	k r o l l ɔ
cromi	k r o m ɪ
crompo	k r o m p o
cromwell	k r o m w e l
cronaca	k r ɔ n a k a
cronache	k r o n a k e
cronica	k r ɔ n i k a
croniche	k r ɔ n i k e
cronometro	k r o n ɔ m e t r o
crookes	k r o o k e s
croquet	k r o k w e t
croscia	k r o ʃ a
crosciava	k r o ʃ a v a
crosetti	k r o z e tː ɪ
crossi	k r ɔ ss ɪ
crosta	k r ɔ s t a
croste	k r ɔ s t e
crosterella	k r o s t e r ɛ l l a
crosterello	k r o s t e r ɛ l l o
crostina	k r o s t i n a
crostini	k r o s t i n ɪ
crosuè	k r o z ʊ ɛ
crotali	k r ɔ t a l ɪ
croupier	k r o ʊ p j ɛ r
croupiers	k r o ʊ p j ɛ r s
crucci	k r u tʃː ɪ
cruccia	k r u tʃː a
crucciamento	k r ʊ tʃː a m e n t o
crucciando	k r ʊ tʃː a n d o
crucciare	k r ʊ tʃː a r e
crucciarsi	k r ʊ tʃː a r s ɪ
crucciasse	k r ʊ tʃː a ss e
crucciata	k r ʊ tʃː a t a
crucciato	k r ʊ tʃː a t o
crucciava	k r ʊ tʃː a v a
cruccio	k r u tʃː o
crucciosa	k r ʊ tʃː ɔ z a
crucciosi	k r ʊ tʃː ɔ z ɪ
cruccioso	k r ʊ tʃː o z o
cruci	k r u tʃ ɪ
cruciava	k r ʊ tʃ a v a
crucichio	k r ʊ tʃ i k i o
crucifisso	k r ʊ tʃ i f i ss o
crucis	k r u tʃ i s
cruda	k r u d a
crudamente	k r ʊ d a m e n t e
crude	k r u d e
crudel	k r u d e l
crudele	k r ʊ d ɛ l e
crudeli	k r ʊ d ɛ l ɪ
crudelissima	k r ʊ d e l i ss i m a
crudelissime	k r ʊ d e l i ss i m e
crudelissimi	k r ʊ d e l i ss i m ɪ
crudelissimo	k r ʊ d e l i ss i m o
crudelitate	k r ʊ d e l i t a t e
crudelità	k r ʊ d e l i t a
crudelmente	k r ʊ d e l m e n t e
crudelta	k r ʊ d ɛ l t a
crudeltate	k r ʊ d e l t a t e
crudeltà	k r ʊ d e l t a
crudezza	k r ʊ d e tsː a
crudezze	k r ʊ d e tsː e
crudi	k r u d ɪ
crudissimi	k r ʊ d i ss i m ɪ
crudità	k r ʊ d i t a
crudo	k r u d o
cruentati	k r ʊ e n t a t ɪ
cruenti	k r ʊ ɛ n t ɪ
cruna	k r u n a
crup	k r u p
crusca	k r u s k a
cruschello	k r ʊ s k ɛ l l o
cràh	k r a
crì	k r i
crìslatlo	k r i z l a t l o
crïa	k r i a
cte	k t e
ctenese	k t e n e z e
ctenobbia	k t e n o bː i a
cu	k u
cu-cu	k u k u
cuba	k u b a
cubi	k u b ɪ
cubica	k u b i k a
cubistico	k ʊ b i s t i k o
cubitali	k ʊ b i t a l ɪ
cubito	k u b i t o
cuccagna	k ʊ kː a ɲ ɲ a
cuccetta	k ʊ tʃː ɛ tː a
cuccette	k ʊ tʃː ɛ tː e
cucchiai	k ʊ kː j a j
cucchiaiata	k ʊ kː j a j a t a
cucchiaini	k ʊ kː i a i n ɪ
cucchiaino	k ʊ kː i a i n o
cucchiaio	k ʊ kː j a i o
cucchiaion	k ʊ kː j a j o n
cucchiaione	k ʊ kː j a j o n e
cucchiaj	k u kː j a j
cucchiajata	k ʊ kː j a j a t a
cucchiajo	k ʊ kː j a j o
cucchiarino	k ʊ kː j a r i n o
cucchiaro	k ʊ kː j a r o
cuccia	k u tʃː a
cucciola	k u tʃː o l a
cuccioli	k u tʃː o l ɪ
cucciolo	k u tʃː o l o
cucciolotto	k ʊ tʃː o l ɔ tː o
cucco	k u kː o
cuce	k u tʃ e
cucendo	k ʊ tʃ ɛ n d o
cuci	k u tʃ ɪ
cucina	k ʊ tʃ i n a
cucinabile	k ʊ tʃ i n a b i l e
cucinano	k ʊ tʃ i n a n o
cucinare	k ʊ tʃ i n a r e
cucinasse	k ʊ tʃ i n a ss e
cucinata	k ʊ tʃ i n a t a
cucinate	k ʊ tʃ i n a t e
cucinati	k ʊ tʃ i n a t ɪ
cucinato	k ʊ tʃ i n a t o
cucinava	k ʊ tʃ i n a v a
cucinavano	k ʊ tʃ i n a v a n o
cucine	k ʊ tʃ i n e
cucinerà	k ʊ tʃ i n e ɾ a
cucinetta	k ʊ tʃ i n e tː a
cuciniera	k ʊ tʃ i n i ɛ r a
cucinò	k ʊ tʃ i n ɔ
cucio	k u tʃ o
cuciono	k u tʃ o n o
cucir	k ʊ tʃ i r
cucire	k ʊ tʃ i r e
cucisce	k ʊ tʃ i ʃ e
cuciscono	k ʊ tʃ i s k o n o
cucita	k ʊ tʃ i t a
cucite	k ʊ tʃ i t e
cucitevi	k ʊ tʃ i t e v ɪ
cuciti	k ʊ tʃ i t ɪ
cucito	k ʊ tʃ i t o
cucitrice	k ʊ tʃ i t r i tʃ e
cucitura	k ʊ tʃ i t u r a
cuciva	k ʊ tʃ i v a
cucivano	k ʊ tʃ i v a n o
cucivi	k ʊ tʃ i v ɪ
cuculo	k u k ʊ l o
cucì	k ʊ tʃ i
cucù	k ʊ k u
cuerra	k ʊ ɛ r ɾ a
cuffia	k u f f i a
cuffie	k u f f j e
cuffietta	k ʊ f f j e tː a
cuffiette	k ʊ f f j e tː e
cuffina	k ʊ f f i n a
cugina	k ʊ dʒ i n a
cugine	k ʊ dʒ i n e
cuginetta	k ʊ dʒ i n e tː a
cuginetto	k ʊ dʒ i n e tː o
cugini	k ʊ dʒ i n ɪ
cugino	k ʊ dʒ i n o
cui	k u j
cul	k u l
culaje	k ʊ l a j e
culla	k u l l a
cullandolo	k ʊ l l a n d o l o
cullandosi	k ʊ l l a n d o z ɪ
cullare	k ʊ l l a r e
cullata	k ʊ l l a t a
cullate	k ʊ l l a t e
cullati	k ʊ l l a t ɪ
cullato	k ʊ l l a t o
cullava	k ʊ l l a v a
cullavano	k ʊ l l a v a n o
culle	k u l l e
cullo	k u l l o
culminante	k ʊ l m i n a n t e
culmine	k u l m i n e
culo	k u l o
culpa	k u l p a
culto	k u l t o
cultor	k ʊ l t ɔ r
cultore	k ʊ l t o r e
cultrice	k ʊ l t r i tʃ e
cultura	k ʊ l t u r a
cum	k u m
cuma	k u m a
cumbo	k u m b o
cumolo	k u m o l o
cumpagne	k ʊ m p a ɲ ɲ e
cumulate	k ʊ m ʊ l a t e
cumuli	k u m ʊ l ɪ
cumulo	k u m ʊ l o
cuna	k u n a
cune	k u n e
cunei	k u n e i
cuneo	k u n e o
cunizza	k ʊ n i dzː a
cunta	k u n t a
cuntastur	k ʊ n t a s t u r
cunto	k u n t o
cuntu	k u n t ʊ
cuoca	k ʊ ɔ k a
cuoce	k ʊ o tʃ e
cuocer	k ʊ o tʃ ɛ r
cuoceranno	k ʊ o tʃ e r a n n o
cuocere	k ʊ ɔ tʃ e r e
cuocergli	k ʊ ɔ tʃ e r ʎ ɪ
cuocerlo	k ʊ ɔ tʃ e r l o
cuocersi	k ʊ ɔ tʃ e r s ɪ
cuocerà	k ʊ o tʃ e ɾ a
cuocessi	k ʊ o tʃ ɛ ss ɪ
cuoceva	k ʊ o tʃ ɛ v a
cuocevano	k ʊ o tʃ e v a n o
cuocevo	k ʊ o tʃ ɛ v o
cuochi	k ʊ o k ɪ
cuoco	k ʊ ɔ k o
cuoia	k ʊ ɔ i a
cuoio	k ʊ ɔ j o
cuojacea	k ʊ o j a tʃ e a
cuojo	k ʊ o j o
cuopra	k ʊ ɔ p r a
cuopre	k ʊ ɔ p r e
cuopron	k ʊ ɔ p r o n
cuor	k ʊ ɔ r
cuora	k ʊ ɔ r a
cuore	k ʊ ɔ r e
cuori	k ʊ ɔ r ɪ
cuoricino	k ʊ o r i tʃ i n o
cupa	k u p a
cupamente	k ʊ p a m e n t e
cupe	k u p e
cupi	k u p ɪ
cupidamente	k ʊ p i d a m e n t e
cupide	k u p i d e
cupidi	k u p i d ɪ
cupidigia	k ʊ p i d i dʒ a
cupidine	k ʊ p i d i n e
cupidita	k ʊ p i d i t a
cupidità	k ʊ p i d i t a
cupido	k ʊ p i d o
cupit	k u p i t
cupo	k u p o
cupola	k u p o l a
cupole	k u p o l e
cupoletta	k ʊ p o l e tː a
cupolette	k ʊ p o l e tː e
cupolino	k ʊ p o l i n o
cupolone	k ʊ p o l o n e
cuprea	k ʊ p r ɛ a
cur	k u r
cura	k u r a
curabile	k ʊ r a b i l e
curai	k ʊ r aː ɪ
curan	k u r a n
curando	k ʊ r a n d o
curandola	k ʊ r a n d o l a
curandosi	k ʊ r a n d o z ɪ
curano	k u r a n o
curansi	k ʊ r a n s ɪ
curante	k ʊ r a n t e
curanti	k ʊ r a n t ɪ
curar	k ʊ r a r
curare	k ʊ r a r e
curarei	k ʊ r a r ɛ i
curarete	k ʊ r a r e t e
curarla	k ʊ r a r l a
curarli	k ʊ r a r l ɪ
curarlo	k ʊ r a r l o
curarmi	k ʊ r a r m ɪ
curarono	k ʊ r a r o n o
curarsene	k ʊ r a r s e n e
curarsi	k ʊ r a r s ɪ
curarvi	k ʊ r a r v ɪ
curasse	k ʊ r a ss e
curasò	k ʊ r a z ɔ
curata	k ʊ r a t a
curate	k ʊ r a t e
curatevi	k ʊ r a t e v ɪ
curati	k ʊ r a t ɪ
curativi	k ʊ r a t i v ɪ
curato	k ʊ r a t o
curatolo	k ʊ r a t o l o
curatore	k ʊ r a t o r e
curava	k ʊ r a v a
curavano	k ʊ r a v a n o
curavo	k ʊ r a v o
cure	k u r e
curerà	k ʊ r e ɾ a
curi	k u r ɪ
curia	k u r i a
curiazi	k ʊ r i a ts ɪ
curino	k u r i n o
curio	k u r i o
curiosa	k ʊ r i ɔ z a
curiosaccio	k ʊ r i o z a tʃː o
curiosamente	k ʊ r i o z a m e n t e
curiosando	k ʊ r i o z a n d o
curiosare	k ʊ r i o z a r e
curiose	k ʊ r i ɔ z e
curiosetto	k ʊ r i o z e tː o
curiosi	k ʊ r i ɔ z ɪ
curiosissima	k ʊ r i o z i ss i m a
curiosissimi	k ʊ r i o z i ss i m ɪ
curiosissimo	k ʊ r i o z i ss i m o
curiosità	k ʊ r i o z i t a
curioso	k ʊ r i o z o
curo	k u r o
curradino	k ʊ r ɾ a d i n o
currado	k ʊ r ɾ a d o
currao	k ʊ r ɾ a o
curro	k u r ɾ o
curule	k u r ʊ l e
curva	k u r v a
curvando	k ʊ r v a n d o
curvandosi	k ʊ r v a n d o z ɪ
curvano	k u r v a n o
curvar	k ʊ r v a r
curvare	k ʊ r v a r e
curvarono	k ʊ r v a r o n o
curvarsi	k ʊ r v a r s ɪ
curvassero	k ʊ r v a ss e r o
curvata	k ʊ r v a t a
curvati	k ʊ r v a t ɪ
curvato	k ʊ r v a t o
curvatura	k ʊ r v a t u r a
curvava	k ʊ r v a v a
curve	k u r v e
curvi	k u r v ɪ
curvo	k u r v o
curvò	k ʊ r v ɔ
curée	k ʊ r e e
curïoso	k ʊ r i o z o
curò	k ʊ ɾ ɔ
cusami	k ʊ z a m ɪ
cusce	k u ʃ e
cuscinate	k ʊ ʃ i n a t e
cuscini	k ʊ ʃ i n ɪ
cuscino	k ʊ ʃ i n o
cuscire	k ʊ ʃ i r e
cusere	k u z e r e
cusin	k u z i n
cusivano	k ʊ z i v a n o
cuspidi	k u s p i d ɪ
custode	k ʊ s t ɔ d e
custodi	k ʊ s t ɔ d ɪ
custodia	k ʊ s t ɔ d i a
custodir	k ʊ s t o d i r
custodire	k ʊ s t o d i r e
custodirgli	k ʊ s t o d i r ʎ ɪ
custodirla	k ʊ s t o d i r l a
custodirlo	k ʊ s t o d i r l o
custodirsi	k ʊ s t o d i r s ɪ
custodirvi	k ʊ s t o d i r v ɪ
custodirò	k ʊ s t o d i ɾ ɔ
custodisce	k ʊ s t o d i ʃ e
custodisco	k ʊ s t o d i s k o
custodisse	k ʊ s t o d i ss e
custodissero	k ʊ s t o d i ss e ɾ o
custodissi	k ʊ s t o d i ss ɪ
custodita	k ʊ s t o d i t a
custodite	k ʊ s t o d i t e
custoditeli	k ʊ s t o d i t e l ɪ
custoditi	k ʊ s t o d i t ɪ
custodito	k ʊ s t o d i t o
custodiva	k ʊ s t o d i v a
custodivano	k ʊ s t o d i v a n o
custodivo	k ʊ s t o d i v o
custodì	k ʊ s t o d i
custoza	k ʊ s t ɔ ts a
cutanea	k ʊ t a n e a
cute	k u t e
cuticagna	k ʊ t i k a ɲ ɲ a
cutlets	k u t l e t s
cutrettola	k ʊ t r e tː o l a
cutrettole	k ʊ t r e tː o l e
cyrano	tʃ i r a n o
càccia	k a tʃː a
càcciala	k a tʃː a l a
càlmati	k a l m a t ɪ
càmbiati	k a m b j a t ɪ
càmice	k a m i tʃ e
càmici	k a m i tʃ ɪ
càmpami	k a m p a m ɪ
cànone	k a n o n e
cànove	k a n o v e
càpita	k a p i t a
càpitano	k a p i t a n o
càpiti	k a p i t ɪ
càrmine	k a r m i n e
càrzara	k a r ts a ɾ a
càtera	k a t e r a
càuta	k a ʊ t a
càuto	k a ʊ t o
càzzica	k a tsː i k a
cè	tʃ ɛ
cèrea	tʃ ɛ r e a
cì	tʃ i
cìascaduno	tʃ i a s k a d ʊ n o
cìcero	tʃ i tʃ e r o
cìvita	tʃ i v i t a
còlta	k ɔ l t a
còlti	k ɔ l t ɪ
còlto	k ɔ l t o
còmpiti	k ɔ m p i t ɪ
còmpito	k ɔ m p i t o
còr	k ɔ r
còrpora	k ɔ r p o r a
cólto	k o l t o
cómpito	k o m p i t o
cùcu	k u k ʊ
cùrvati	k u r v a t ɪ
d	d̪ iː
d'abbaiare	d a bː a j a r e
d'abbandonar	d a bː a n d o n a r
d'abbandonare	d a bː a n d o n a r e
d'abbandonarla	d a bː a n d o n a r l a
d'abbandonarsi	d a bː a n d o n a r s ɪ
d'abbandono	d a bː a ŋ d ɔ n o
d'abbassar	d a bː a ss a r
d'abbasso	d a bː a ss o
d'abboccare	d a bː o kː a r e
d'abbonamento	d a bː o n a m e n t o
d'abbordar	d a bː o r d a r
d'abbracciar	d a bː r a tʃː a r
d'abel	d a b e l
d'abete	d a b e t e
d'abeti	d a b ɛ t ɪ
d'abissi	d a b i ss ɪ
d'abisso	d a b i ss o
d'abitanti	d a b i t a n t ɪ
d'abitar	d a b i t a r
d'abitare	d a b i t a r e
d'abitazione	d a b i t a ts i o n e
d'abiti	d a b i t ɪ
d'abito	d a b i t o
d'abitudine	d a b i t u d i n e
d'abnegazione	d a b n e ɡ a ts i o n e
d'abominazione	d a b o m i n a ts i o n e
d'absalone	d a b s a l o n e
d'acacia	d a k a tʃ a
d'accanirsi	d a kː a n i r s ɪ
d'accanito	d a kː a n i t o
d'accarezzare	d a kː a r e tsː a r e
d'accasarsi	d a kː a z a r s ɪ
d'accecarsi	d a tʃː e k a r s ɪ
d'accedere	d a tʃː e d e r e
d'accendere	d a tʃː ɛ n d e r e
d'accenderla	d a tʃː ɛ n d e r l a
d'accenderlo	d a tʃː ɛ n d e r l o
d'accennare	d a tʃː e n n a r e
d'accertarsi	d a tʃː e r t a r s ɪ
d'accesso	d a tʃː ɛ ss o
d'accetta	d a tʃː e tː a
d'accettar	d a tʃː e tː a r
d'accettare	d a tʃː e tː a r e
d'accettarli	d a tʃː e tː a r l ɪ
d'acchiappare	d a kː j a pː a r e
d'acchiapparla	d a kː j a pː a r l a
d'acciaio	d a tʃː a i o
d'acciajo	d a tʃː a j o
d'accidente	d a tʃː i d ɛ n t e
d'accingervisi	d a tʃː i n dʒ e r v i z ɪ
d'acciughe	d a tʃː u ɡ e
d'accogliere	d a kː ɔ ʎ e r e
d'accoglierlo	d a kː o ʎ e r l o
d'accomiatarsi	d a kː o m j a t a r s ɪ
d'accomodare	d a kː o m o d a r e
d'accompagnatori	d a kː o m p a ɲ a t o r ɪ
d'acconciarsi	d a kː o n tʃ a r s ɪ
d'acconsentire	d a kː o n s e n t i r e
d'accordare	d a kː o r d a r e
d'accordarmi	d a kː o r d a r m ɪ
d'accordo	d a kː ɔ r d o
d'accorgersene	d a kː ɔ r dʒ e r s e n e
d'accorgersi	d a kː ɔ r dʒ e r s ɪ
d'accorrere	d a kː ɔ r ɾ e r e
d'accorso	d a kː ɔ r s o
d'accortezza	d a kː o r t e tsː a
d'accostarglisi	d a kː o s t a r ʎ i z ɪ
d'accostarsi	d a kː o s t a r s ɪ
d'accosto	d a kː ɔ s t o
d'accusa	d a kː u z a
d'accusator	d a kː ʊ z a t ɔ r
d'aceri	d a tʃ e r ɪ
d'aceto	d a tʃ e t o
d'acheronte	d a k e r o n t e
d'achille	d a k i l l e
d'acido	d a tʃ i d o
d'acqua	d a kː w a
d'acquarii	d a kː w a r ɪː j
d'acquasparta	d a kː w a s p a r t a
d'acquavite	d a kː w a v i t e
d'acque	d a kː w e
d'acquedotti	d a kː w e d o tː ɪ
d'acquerugiola	d a kː w e r ʊ dʒ ɔ l a
d'acquistare	d a kː w i s t a r e
d'acquistarlo	d a kː w i s t a r l o
d'acri	d a k r ɪ
d'acute	d a k u t e
d'adamo	d a d a m o
d'adattare	d a d a tː a r e
d'addio	d a dː i o
d'addormentarsi	d a dː o r m e n t a r s ɪ
d'addormentato	d a dː o r m e n t a t o
d'addosso	d a dː ɔ ss o
d'adelaide	d a d e l aɪ d e
d'adempire	d a d e m p i r e
d'adesso	d a d ɛ ss o
d'adirarsi	d a d i r a r s ɪ
d'adolescente	d a d o l e ʃ ɛ n t e
d'adolescenti	d a d o l e ʃ ɛ n t ɪ
d'adoperar	d a d o p e r a r
d'adoperarci	d a d o p e r a r tʃ ɪ
d'adorazione	d a d o r a ts i o n e
d'adottare	d a d o tː a r e
d'adozione	d a d o ts i o n e
d'adriana	d a d r i a n a
d'aequar	d a e k w a r
d'aeree	d a ɛ r e e
d'affacciarsi	d a f f a tʃː a r s ɪ
d'affaire	d a f f aɪ r e
d'affanni	d a f f a n n ɪ
d'affanno	d a f f a n n o
d'affannosa	d a f f a n n o z a
d'affannoso	d a f f a n n o z o
d'affari	d a f f a r ɪ
d'afferrar	d a f f e r ɾ a r
d'afferrare	d a f f e r ɾ a r e
d'afferrargli	d a f f e r ɾ a r ʎ ɪ
d'afferrarlo	d a f f e r ɾ a r l o
d'afferrarne	d a f f e r ɾ a r n e
d'affettarsi	d a f f e tː a r s ɪ
d'affetti	d a f f ɛ tː ɪ
d'affetto	d a f f ɛ tː o
d'affidare	d a f f i d a r e
d'affidargliela	d a f f i d a r ʎ e l a
d'affilare	d a f f i l a r e
d'affioramenti	d a f f j o r a m e n t ɪ
d'affitti	d a f f i tː ɪ
d'affitto	d a f f i tː o
d'afflitte	d a f f l i tː e
d'affogare	d a f f o ɡ a r e
d'affondamenti	d a f f o n d a m e n t ɪ
d'affondare	d a f f o n d a r e
d'affumicarsi	d a f f ʊ m i k a r s ɪ
d'afrezza	d a f r e tsː a
d'africa	d a f r i k a
d'agevolargli	d a dʒ e v o l a r ʎ ɪ
d'aggiunger	d a dʒː ʊ n dʒ ɛ r
d'aggiungere	d a dʒː u n dʒ e r e
d'aggiungervi	d a dʒː u n dʒ e r v ɪ
d'aggiustarla	d a dʒː ʊ s t a r l a
d'aggiustarsi	d a dʒː ʊ s t a r s ɪ
d'aggrapparsi	d a ɡː r a pː a r s ɪ
d'aggrottar	d a ɡː r o tː a r
d'agguagliare	d a ɡː ʊ a ʎ a r e
d'agi	d a dʒ ɪ
d'agiata	d a dʒ a t a
d'agilità	d a dʒ i l i t a
d'agire	d a dʒ i r e
d'aglio	d a ʎ o
d'agnello	d a ɲ ɛ l l o
d'agnellotti	d a ɲ e l l ɔ tː ɪ
d'agobbio	d a ɡ o bː i o
d'agonia	d a ɡ o n i a
d'agostino	d a ɡ o s t i n o
d'agosto	d a ɡ o s t o
d'agresti	d a ɡ r ɛ s t ɪ
d'agro	d a ɡ r o
d'agronomia	d a ɡ r o n o m i a
d'agrumi	d a ɡ r u m ɪ
d'aguglion	d a ɡ u ʎ o n
d'aguilar	d a ɡ w i l a r
d'aguzzi	d a ɡ u tsː ɪ
d'aia	d a i a
d'aiutar	d a j ʊ t a r
d'aiuto	d a j u t o
d'aizzare	d aɪ dzː a r e
d'ajutare	d a j ʊ t a r e
d'ajutarsi	d a j ʊ t a r s ɪ
d'ajuto	d a j u t o
d'ala	d a l a
d'alagna	d a l a ɲ ɲ a
d'alaterni	d a l a t ɛ r n ɪ
d'alatri	d a l a t r ɪ
d'alba	d a l b a
d'albagio	d a l b a dʒ o
d'albano	d a l b a n o
d'albergo	d a l b ɛ r ɡ o
d'alberi	d a l b e r ɪ
d'albero	d a l b e r o
d'alberto	d a l b ɛ r t o
d'albore	d a l b o r e
d'albïon	d a l b j o n
d'alcool	d a l k oː l
d'alcova	d a l k o v a
d'alcun	d a l k u n
d'alcun'altra	d a l k ʊ n a l t r a
d'alcun'ammenda	d a l k ʊ n a m m ɛ n d a
d'alcuna	d a l k u n a
d'alcune	d a l k u n e
d'alcuni	d a l k u n ɪ
d'alcuno	d a l k u n o
d'ale	d a l e
d'alegrezza	d a l e ɡ r e tsː a
d'alessandria	d a l e ss a n d r i a
d'alessandro	d a l e ss a n d r o
d'alfreduccio	d a l f r e d u tʃː o
d'alga	d a l ɡ a
d'alghe	d a l ɡ e
d'ali	d a l ɪ
d'alice	d a l i tʃ e
d'alimento	d a l i m e n t o
d'allarme	d a l l a r m e
d'alleanza	d a l l e a n ts a
d'alleggerirlo	d a l l e dʒː e r i r l o
d'allegrezza	d a l l e ɡ r e tsː a
d'allegria	d a l l e ɡ r i a
d'allegro	d a l l e ɡ r o
d'allevare	d a l l e v a r e
d'allevarlo	d a l l e v a r l o
d'alleviargli	d a l l e v j a r ʎ ɪ
d'alleviarli	d a l l e v j a r l ɪ
d'allocco	d a l l ɔ kː o
d'alloggiare	d a l l o dʒː a r e
d'alloggio	d a l l ɔ dʒː o
d'allontanare	d a l l o n t a n a r e
d'allontanarmi	d a l l o n t a n a r m ɪ
