а	ɑ
глазкито	ɡ ɭ a s kʲ i t ʌ
глазнаглаз	ɡ ɭ a z n ɑ ɡ ɭ ʌ s
глазницах	ɡ ɭ a ʑ nʲ i ts ʌ x
глазок	ɡ ɭ a z o k
глазом	ɡ ɭ ɑ z ʌ m
глазочками	ɡ ɭ a z o tʃʲ k ʌ mʲ ɪ
глазу	ɡ ɭ ɑ z u
глас	ɡ ɭ ɑ s
гласит	ɡ ɭ a sʲ i t
гласом	ɡ ɭ ɑ s ʌ m
гласу	ɡ ɭ ɑ s u
гласы	ɡ ɭ ɑ s y
гласят	ɡ ɭ a sʲ ɑ t
глафира	ɡ ɭ a fʲ i r a
глафире	ɡ ɭ a fʲ i rʲ i
глафирой	ɡ ɭ a fʲ i r ʌ j
глафиру	ɡ ɭ a fʲ i r u
глафиры	ɡ ɭ a fʲ i r y
глаша	ɡ ɭ ɑ ʃ a
глашатая	ɡ ɭ a ʃ ɑ t ʌ ja
глашка	ɡ ɭ ɑ ʃ k a
глеб	ɡ ɭʲ e p
глеба	ɡ ɭʲ e b a
глинистом	ɡ ɭʲ i nʲ i s t ʌ m
глинистые	ɡ ɭʲ i nʲ i s t y j ɪ
глинка	ɡ ɭʲ i n k a
глину	ɡ ɭʲ i n u
глины	ɡ ɭʲ i n y
глиняный	ɡ ɭʲ i nʲ ʌ n y j
глиняных	ɡ ɭʲ i nʲ ʌ n y x
глист	ɡ ɭʲ i s t
глисты	ɡ ɭʲ i s t y
гложет	ɡ ɭ o ʒ y t
гложущая	ɡ ɭ ʌ ʒ u ɕ ʌ ja
гложущей	ɡ ɭ o ʒ u ɕ i j
глотает	ɡ ɭ ʌ t ɑ j i t
глотаете	ɡ ɭ ʌ t ɑ j i tʲ i
глотал	ɡ ɭ ʌ t ɑ ɭ
глотали	ɡ ɭ ʌ t ɑ ɭʲ ɪ
глотать	ɡ ɭ ʌ t ɑ tʲ
глотаю	ɡ ɭ ʌ t ɑ ju
глотают	ɡ ɭ ʌ t ɑ ju t
глотая	ɡ ɭ ʌ t ɑ ja
глотка	ɡ ɭ o t k a
глотками	ɡ ɭ ʌ t k ɑ mʲ ɪ
глотке	ɡ ɭ o t kʲ i
глотки	ɡ ɭ o t kʲ ɪ
глотков	ɡ ɭ ʌ t k o f
глотком	ɡ ɭ ʌ t k o m
глотку	ɡ ɭ o t k u
глотнул	ɡ ɭ ʌ t n u ɭ
глотнуть	ɡ ɭ ʌ t n u tʲ
глоток	ɡ ɭ ʌ t o k
глохнут	ɡ ɭ o x n u t
глубже	ɡ ɭ u b ʒ y
глуби	ɡ ɭ u bʲ ɪ
глубин	ɡ ɭ u bʲ i n
глубина	ɡ ɭ u bʲ i n ɑ
глубинам	ɡ ɭ u bʲ i n ʌ m
глубинах	ɡ ɭ u bʲ i n ʌ x
глубине	ɡ ɭ u bʲ i nʲ e
глубинегармонический	ɡ ɭ u bʲ i nʲ i ɡ ʌ r m ʌ nʲ i tʃʲ i s kʲ i j
глубиной	ɡ ɭ u bʲ i n o j
глубиною	ɡ ɭ u bʲ i n o ju
глубину	ɡ ɭ u bʲ i n u
глубины	ɡ ɭ u bʲ i n y
глубок	ɡ ɭ u b o k
глубока	ɡ ɭ u b ʌ k ɑ
глубокая	ɡ ɭ u b o k ʌ ja
глубокглубок	ɡ ɭ u b ʌ ɡ ɡ ɭ u b ʌ k
глубоки	ɡ ɭ u b ʌ kʲ i
глубокие	ɡ ɭ u b o kʲ i j ɪ
глубокий	ɡ ɭ u b o kʲ i j
глубоким	ɡ ɭ u b o kʲ i m
глубокими	ɡ ɭ u b o kʲ i mʲ ɪ
глубоких	ɡ ɭ u b o kʲ i x
глубоко	ɡ ɭ u b ʌ k o
глубокоглубоко	ɡ ɭ u b ʌ k o ɡ ɭ u b ʌ k ʌ
глубокого	ɡ ɭ u b o k ʌ v ʌ
глубокое	ɡ ɭ u b o k ʌ j ɪ
глубокоиндивидуального	ɡ ɭ u b ʌ k ʌ i n dʲ i vʲ i d u ʌ ɭ n ʌ v ʌ
глубокой	ɡ ɭ u b o k ʌ j
глубоком	ɡ ɭ u b o k ʌ m
глубокому	ɡ ɭ u b o k ʌ m u
глубокомысленно	ɡ ɭ u b ʌ k ʌ m y s ɭʲ i n n ʌ
глубокомысленность	ɡ ɭ u b ʌ k ʌ m y s ɭʲ i n n ʌ s tʲ
глубокомысленными	ɡ ɭ u b ʌ k ʌ m y s ɭʲ i n n y mʲ ɪ
глубокомысленных	ɡ ɭ u b ʌ k ʌ m y s ɭʲ i n n y x
глубокомыслие	ɡ ɭ u b ʌ k ʌ m y s ɭʲ i j ɪ
глубокосерьезным	ɡ ɭ u b ʌ k ʌ sʲ e r ɪ^ j j i z n y m
глубокоуважаемый	ɡ ɭ u b ʌ k ʌ u v a ʒ ɑ j i m y j
глубокохарактерных	ɡ ɭ u b ʌ k ʌ x a r ɑ k tʲ i r n y x
глубокочистый	ɡ ɭ u b ʌ k o tʃʲ i s t y j
глубокою	ɡ ɭ u b o k ʌ ju
глубоку	ɡ ɭ u b o k u
глубокую	ɡ ɭ u b o k u ju
глубочайшая	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ ʌ ja
глубочайшего	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y v ʌ
глубочайшее	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y j ɪ
глубочайшей	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y j
глубочайшем	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y m
глубочайшие	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y j ɪ
глубочайший	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y j
глубочайшим	ɡ ɭ u b ʌ tʃʲ ɑ j ʃ y m
глубь	ɡ ɭ u p
глуп	ɡ ɭ u p
глупа	ɡ ɭ u p ɑ
глупая	ɡ ɭ u p ʌ ja
глупее	ɡ ɭ u pʲ e j ɪ
глупейшее	ɡ ɭ u pʲ e j ʃ y j ɪ
глупец	ɡ ɭ u pʲ e ts
глупо	ɡ ɭ u p ʌ
глуповата	ɡ ɭ u p ʌ v ɑ t a
глуповаты	ɡ ɭ u p ʌ v ɑ t y
глупого	ɡ ɭ u p ʌ v ʌ
глупое	ɡ ɭ u p ʌ j ɪ
глупой	ɡ ɭ u p ʌ j
глупом	ɡ ɭ u p ʌ m
глупому	ɡ ɭ u p ʌ m u
глупостей	ɡ ɭ u p ʌ sʲ tʲ i j
глупости	ɡ ɭ u p ʌ sʲ tʲ ɪ
глупость	ɡ ɭ u p ʌ s tʲ
глупостью	ɡ ɭ u p ʌ s tʲ j ju
глупую	ɡ ɭ u p u ju
глупцов	ɡ ɭ u p ts o f
глупцом	ɡ ɭ u p ts o m
глупцы	ɡ ɭ u p ts y
глупы	ɡ ɭ u p y
глупые	ɡ ɭ u p y j ɪ
глупый	ɡ ɭ u p y j
глупым	ɡ ɭ u p y m
глупыми	ɡ ɭ u p y mʲ ɪ
глупых	ɡ ɭ u p y x
глупят	ɡ ɭ u pʲ ɑ t
глух	ɡ ɭ u x
глуха	ɡ ɭ u x ɑ
глухарем	ɡ ɭ u x a rʲ e m
глухарь	ɡ ɭ u x ɑ r ɪ^
глухаря	ɡ ɭ u x a rʲ ɑ
глухая	ɡ ɭ u x ɑ ja
глухие	ɡ ɭ u x i j ɪ
глухим	ɡ ɭ u x i m
глухими	ɡ ɭ u x i mʲ ɪ
глухих	ɡ ɭ u x i x
глухо	ɡ ɭ u x ʌ
глуховском	ɡ ɭ u x o f s k ʌ m
глухого	ɡ ɭ u x o v ʌ
глухое	ɡ ɭ u x o j ɪ
глухой	ɡ ɭ u x o j
глухом	ɡ ɭ u x o m
глухомань	ɡ ɭ u x ʌ m ɑ n
глухонемым	ɡ ɭ u x ʌ nʲ i m y m
глухоте	ɡ ɭ u x ʌ tʲ e
глухую	ɡ ɭ u x u ju
глушат	ɡ ɭ u ʃ ʌ t
глуши	ɡ ɭ u ʃ i
глушит	ɡ ɭ u ʃ y t
глушь	ɡ ɭ u ʃ
глыба	ɡ ɭ y b a
глыбой	ɡ ɭ y b ʌ j
глыбы	ɡ ɭ y b y
глядевшая	ɡ ɭʲ a dʲ e f ʃ ʌ ja
глядевший	ɡ ɭʲ a dʲ e f ʃ y j
глядевших	ɡ ɭʲ a dʲ e f ʃ y x
глядевшую	ɡ ɭʲ a dʲ e f ʃ u ju
глядел	ɡ ɭʲ a dʲ e ɭ
глядела	ɡ ɭʲ a dʲ e ɭ a
глядели	ɡ ɭʲ a dʲ e ɭʲ ɪ
гляделках	ɡ ɭʲ a dʲ e ɭ k ʌ x
глядело	ɡ ɭʲ a dʲ e ɭ ʌ
гляделся	ɡ ɭʲ a dʲ e ɭ sʲ ʌ
глядение	ɡ ɭʲ a dʲ e nʲ i j ɪ
глядеть	ɡ ɭʲ a dʲ e tʲ
гляди	ɡ ɭʲ a dʲ i
глядим	ɡ ɭʲ a dʲ i m
глядит	ɡ ɭʲ a dʲ i t
глядите	ɡ ɭʲ a dʲ i tʲ i
глядится	ɡ ɭʲ a dʲ i ts ʌ
глядишь	ɡ ɭʲ a dʲ i ʃ
глядь	ɡ ɭʲ ɑ tʲ
глядя	ɡ ɭʲ ɑ dʲ ʌ
глядясь	ɡ ɭʲ a dʲ ɑ sʲ
глядят	ɡ ɭʲ a dʲ ɑ t
глядящие	ɡ ɭʲ a dʲ ɑ ɕ i j ɪ
гляжу	ɡ ɭʲ a ʒ u
глянем	ɡ ɭʲ ɑ nʲ i m
глянет	ɡ ɭʲ ɑ nʲ i t
гляну	ɡ ɭʲ ɑ n u
глянув	ɡ ɭʲ ɑ n u f
глянул	ɡ ɭʲ ɑ n u ɭ
глянула	ɡ ɭʲ ɑ n u ɭ a
глянцевитым	ɡ ɭʲ ʌ n ts y vʲ i t y m
глянь	ɡ ɭʲ ɑ n
глянька	ɡ ɭʲ ɑ n k a
гм	ɡ ɛ ɛ m
гн	ɡ ɛ ɛ n
гнал	ɡ n ɑ ɭ
гнала	ɡ n a ɭ ɑ
гналась	ɡ n a ɭ ɑ sʲ
гналася	ɡ n a ɭ ɑ sʲ ʌ
гнали	ɡ n ɑ ɭʲ ɪ
гнались	ɡ n a ɭʲ i sʲ
гнался	ɡ n ɑ ɭ sʲ ʌ
гнать	ɡ n ɑ tʲ
гнаться	ɡ n ɑ tʲ sʲ ʌ
гнев	ɡ nʲ e f
гнева	ɡ nʲ e v a
гневайся	ɡ nʲ e v ʌ j sʲ ʌ
гневайтесь	ɡ nʲ e v ʌ j tʲ i sʲ
гневались	ɡ nʲ e v ʌ ɭʲ i sʲ
гневался	ɡ nʲ e v ʌ ɭ sʲ ʌ
гневаться	ɡ nʲ e v ʌ tʲ sʲ ʌ
гневаются	ɡ nʲ e v ʌ ju ts ʌ
гневе	ɡ nʲ e vʲ i
гневен	ɡ nʲ e vʲ i n
гневить	ɡ nʲ i vʲ i tʲ
гневливого	ɡ nʲ i v ɭʲ i v ʌ v ʌ
гневная	ɡ nʲ e v n ʌ ja
гневно	ɡ nʲ e v n ʌ
гневное	ɡ nʲ e v n ʌ j ɪ
гневный	ɡ nʲ e v n y j
гневным	ɡ nʲ e v n y m
гневных	ɡ nʲ e v n y x
гневом	ɡ nʲ e v ʌ m
гневу	ɡ nʲ e v u
гнедая	ɡ nʲ i d ɑ ja
гнедого	ɡ nʲ i d o v ʌ
гнедой	ɡ nʲ i d o j
гнедом	ɡ nʲ i d o m
гнедым	ɡ nʲ i d y m
гнедых	ɡ nʲ i d y x
гнезд	ɡ nʲ e s t
гнезда	ɡ nʲ e z d a
гнезде	ɡ nʲ i ʑ dʲ e
гнездившихся	ɡ nʲ i ʑ dʲ i f ʃ y x sʲ ʌ
гнездилась	ɡ nʲ i ʑ dʲ i ɭ ʌ sʲ
гнездились	ɡ nʲ i ʑ dʲ i ɭʲ i sʲ
гнездился	ɡ nʲ i ʑ dʲ i ɭ sʲ ʌ
гнездится	ɡ nʲ i ʑ dʲ i ts ʌ
гнездиться	ɡ nʲ i ʑ dʲ i tʲ sʲ ʌ
гнездо	ɡ nʲ i z d o
гнездом	ɡ nʲ i z d o m
гнездышка	ɡ nʲ e z d y ʃ k a
гнездышко	ɡ nʲ e z d y ʃ k ʌ
гнеккера	ɡ nʲ i k kʲ e r a
гнело	ɡ nʲ i ɭ o
гнет	ɡ nʲ e t
гнета	ɡ nʲ e t a
гнетет	ɡ nʲ i tʲ e t
гнетом	ɡ nʲ e t ʌ m
гнету	ɡ nʲ e t u
гнетут	ɡ nʲ i t u t
гнетущая	ɡ nʲ i t u ɕ ʌ ja
гнетущее	ɡ nʲ i t u ɕ i j ɪ
гнетущей	ɡ nʲ i t u ɕ i j
гнетущую	ɡ nʲ i t u ɕ u ju
гнил	ɡ nʲ i ɭ
гнили	ɡ nʲ i ɭʲ ɪ
гнилой	ɡ nʲ i ɭ o j
гнилые	ɡ nʲ i ɭ y j ɪ
гнилых	ɡ nʲ i ɭ y x
гниют	ɡ nʲ i ju t
гниющего	ɡ nʲ i ju ɕ i v ʌ
гниющими	ɡ nʲ i ju ɕ i mʲ ɪ
гномом	ɡ n o m ʌ m
гносеологизму	ɡ n ʌ sʲ i o ɭ ʌ ɡʲ i z m u
гностиков	ɡ n ʌ sʲ tʲ i k ʌ f
гнул	ɡ n u ɭ
гнули	ɡ n u ɭʲ ɪ
гнулись	ɡ n u ɭʲ i sʲ
гнусная	ɡ n u s n ʌ ja
гнусного	ɡ n u s n ʌ v ʌ
гнусное	ɡ n u s n ʌ j ɪ
гнусной	ɡ n u s n ʌ j
гнусности	ɡ n u s n ʌ sʲ tʲ ɪ
гнусность	ɡ n u s n ʌ s tʲ
гнусною	ɡ n u s n ʌ ju
гнусную	ɡ n u s n u ju
гнусные	ɡ n u s n y j ɪ
гнуткое	ɡ n u t k o j ɪ
гнутого	ɡ n u t o v ʌ
гнутся	ɡ n u tʲ sʲ ʌ
гнуть	ɡ n u tʲ
гнушаемся	ɡ n u ʃ ɑ j i m sʲ ʌ
гнушается	ɡ n u ʃ ɑ j i ts ʌ
гнушались	ɡ n u ʃ ɑ ɭʲ i sʲ
гнушался	ɡ n u ʃ ɑ ɭ sʲ ʌ
гнушаться	ɡ n u ʃ ɑ tʲ sʲ ʌ
гнушаюсь	ɡ n u ʃ ɑ ju sʲ
гнушаясь	ɡ n u ʃ ɑ ja sʲ
гоббса	ɡ o p p s a
гобелка	ɡ ʌ bʲ e ɭ k a
говаривал	ɡ ʌ v ɑ rʲ i v ʌ ɭ
говаривала	ɡ ʌ v ɑ rʲ i v ʌ ɭ a
говаривали	ɡ ʌ v ɑ rʲ i v ʌ ɭʲ ɪ
говор	ɡ o v ʌ r
говора	ɡ o v ʌ r a
говорено	ɡ ʌ v o rʲ i n ʌ
говори	ɡ ʌ v ʌ rʲ i
говорившем	ɡ ʌ v ʌ rʲ i f ʃ y m
говорившему	ɡ ʌ v ʌ rʲ i f ʃ y m u
говоривший	ɡ ʌ v ʌ rʲ i f ʃ y j
говорил	ɡ ʌ v ʌ rʲ i ɭ
говорила	ɡ ʌ v ʌ rʲ i ɭ a
говорили	ɡ ʌ v ʌ rʲ i ɭʲ ɪ
говорило	ɡ ʌ v ʌ rʲ i ɭ ʌ
говорилось	ɡ ʌ v ʌ rʲ i ɭ ʌ sʲ
говорим	ɡ ʌ v ʌ rʲ i m
говорит	ɡ ʌ v ʌ rʲ i t
говорите	ɡ ʌ v ʌ rʲ i tʲ i
говорится	ɡ ʌ v ʌ rʲ i ts ʌ
говорить	ɡ ʌ v ʌ rʲ i tʲ
говоришь	ɡ ʌ v ʌ rʲ i ʃ
говорлива	ɡ ʌ v ʌ r ɭʲ i v a
говорливая	ɡ ʌ v ʌ r ɭʲ i v ʌ ja
говорливой	ɡ ʌ v ʌ r ɭʲ i v ʌ j
говорливый	ɡ ʌ v ʌ r ɭʲ i v y j
говоров	ɡ o v ʌ r ʌ f
говором	ɡ o v ʌ r ʌ m
говорун	ɡ ʌ v ʌ r u n
говорю	ɡ ʌ v ʌ rʲ u"
говоря	ɡ ʌ v ʌ rʲ ɑ
говорят	ɡ ʌ v ʌ rʲ ɑ t
говорящая	ɡ ʌ v ʌ rʲ ɑ ɕ ʌ ja
говорящи	ɡ ʌ v o rʲ ʌ ɕ ɪ
говорящие	ɡ ʌ v ʌ rʲ ɑ ɕ i j ɪ
говорящих	ɡ ʌ v ʌ rʲ ɑ ɕ i x
говядина	ɡ ʌ vʲ ɑ dʲ i n a
говядины	ɡ ʌ vʲ ɑ dʲ i n y
гоголе	ɡ ʌ ɡ o ɭʲ i
гоголевские	ɡ ʌ ɡ ʌ ɭʲ e f s kʲ i j ɪ
гоголевский	ɡ o ɡ ʌ ɭʲ i f s kʲ i j
гоголевского	ɡ o ɡ ʌ ɭʲ i f s k ʌ v ʌ
гоголевское	ɡ ʌ ɡ ʌ ɭʲ e f s k ʌ j ɪ
гоголей	ɡ ʌ ɡ o ɭʲ i j
гоголем	ɡ o ɡ ʌ ɭʲ i m
гоголь	ɡ o ɡ ʌ ɭ
гоголя	ɡ o ɡ ʌ ɭʲ ʌ
гоготали	ɡ ʌ ɡ ʌ t ɑ ɭʲ ɪ
год	ɡ o t
года	ɡ o d a
годам	ɡ ʌ d ɑ m
годами	ɡ ʌ d ɑ mʲ ɪ
годах	ɡ ʌ d ɑ x
годдва	ɡ o d d v a
годе	ɡ o dʲ i
годен	ɡ o dʲ i n
годеоновский	ɡ ʌ dʲ i o n ʌ f s kʲ i j
годиков	ɡ o dʲ i k ʌ f
годилась	ɡ ʌ dʲ i ɭ ʌ sʲ
годились	ɡ ʌ dʲ i ɭʲ i sʲ
годилось	ɡ ʌ dʲ i ɭ ʌ sʲ
годился	ɡ ʌ dʲ i ɭ sʲ ʌ
годину	ɡ ʌ dʲ i n u
годитесь	ɡ ʌ dʲ i tʲ i sʲ
годится	ɡ ʌ dʲ i ts ʌ
годиться	ɡ ʌ dʲ i tʲ sʲ ʌ
годишься	ɡ ʌ dʲ i ʃ sʲ ʌ
годков	ɡ ʌ d k o f
годна	ɡ ʌ d n ɑ
годнич	ɡ ʌ d nʲ i tʃʲ
годности	ɡ o d n ʌ sʲ tʲ ɪ
годны	ɡ ʌ d n y
годным	ɡ o d n y m
годов	ɡ ʌ d o f
годовщинах	ɡ ʌ d ʌ f ɕ i n ʌ x
годом	ɡ o d ʌ m
году	ɡ o d u
годунова	ɡ ʌ d u n o v a
годы	ɡ o d y
годыто	ɡ ʌ d y t ʌ
годятся	ɡ ʌ dʲ ɑ ts ʌ
гожусь	ɡ ʌ ʒ u sʲ
гозначительного	ɡ ʌ z n a tʃʲ i tʲ i ɭ n ʌ v ʌ
гол	ɡ o ɭ
голая	ɡ o ɭ ʌ ja
голгофа	ɡ ʌ ɭ ɡ o f a
голгофы	ɡ ʌ ɭ ɡ o f y
голендуху	ɡ ʌ ɭʲ e n d u x u
голенища	ɡ ʌ ɭʲ i nʲ i ɕ ʌ
голенькие	ɡ o ɭʲ i n kʲ i j ɪ
голицын	ɡ ʌ ɭʲ i ts y n
голландский	ɡ ʌ ɭ ɭ ɑ n d s kʲ i j
голландского	ɡ ʌ ɭ ɭ ɑ n d s k ʌ v ʌ
голландское	ɡ ʌ ɭ ɭ ɑ n d s k ʌ j ɪ
голландцы	ɡ ʌ ɭ ɭ ɑ n d ts y
голов	ɡ ʌ ɭ o f
голова	ɡ ʌ ɭ ʌ v ɑ
головам	ɡ ʌ ɭ ʌ v ɑ m
головами	ɡ ʌ ɭ ʌ v ɑ mʲ ɪ
головах	ɡ ʌ ɭ ʌ v ɑ x
голове	ɡ ʌ ɭ ʌ vʲ e
головка	ɡ ʌ ɭ o f k a
головках	ɡ ʌ ɭ o f k ʌ x
головке	ɡ ʌ ɭ o f kʲ i
головки	ɡ ʌ ɭ o f kʲ ɪ
головкой	ɡ ʌ ɭ o f k ʌ j
головку	ɡ ʌ ɭ o f k u
головля	ɡ ʌ ɭ o v ɭʲ ʌ
головной	ɡ ʌ ɭ ʌ v n o j
головною	ɡ ʌ ɭ ʌ v n o ju
головные	ɡ ʌ ɭ ʌ v n y j ɪ
головным	ɡ ʌ ɭ ʌ v n y m
головных	ɡ ʌ ɭ ʌ v n y x
головой	ɡ ʌ ɭ ʌ v o j
головокружительной	ɡ ʌ ɭ ʌ v ʌ k r u ʒ y tʲ i ɭ n ʌ j
головою	ɡ ʌ ɭ ʌ v o ju
голову	ɡ o ɭ ʌ v u
головушкой	ɡ ʌ ɭ o v u ʃ k ʌ j
головушку	ɡ ʌ ɭ o v u ʃ k u
головы	ɡ ʌ ɭ o v y
голого	ɡ o ɭ ʌ v ʌ
голод	ɡ o ɭ ʌ t
голода	ɡ o ɭ ʌ d a
голодает	ɡ ʌ ɭ ʌ d ɑ j i t
голодал	ɡ ʌ ɭ ʌ d ɑ ɭ
голодания	ɡ ʌ ɭ ʌ d ɑ nʲ i ja
голодать	ɡ ʌ ɭ ʌ d ɑ tʲ
голодают	ɡ ʌ ɭ ʌ d ɑ ju t
голодающий	ɡ ʌ ɭ ʌ d ɑ ju ɕ i j
голодающих	ɡ ʌ ɭ ʌ d ɑ ju ɕ i x
голодая	ɡ ʌ ɭ ʌ d ɑ ja
голоде	ɡ o ɭ ʌ dʲ i
голоден	ɡ o ɭ ʌ dʲ i n
голодна	ɡ ʌ ɭ ʌ d n ɑ
голодная	ɡ ʌ ɭ o d n ʌ ja
голоднехонек	ɡ ʌ ɭ ʌ d nʲ e x ʌ nʲ i k
голодного	ɡ ʌ ɭ o d n ʌ v ʌ
голодной	ɡ ʌ ɭ o d n ʌ j
голодном	ɡ ʌ ɭ o d n ʌ m
голодному	ɡ ʌ ɭ o d n ʌ m u
голодную	ɡ ʌ ɭ o d n u ju
голодны	ɡ ʌ ɭ ʌ d n y
голодные	ɡ ʌ ɭ o d n y j ɪ
голодный	ɡ ʌ ɭ o d n y j
голодным	ɡ ʌ ɭ o d n y m
голодных	ɡ ʌ ɭ o d n y x
голодом	ɡ o ɭ ʌ d ʌ m
голоду	ɡ o ɭ ʌ d u
голое	ɡ o ɭ ʌ j ɪ
голой	ɡ o ɭ ʌ j
голому	ɡ o ɭ ʌ m u
голос	ɡ o ɭ ʌ s
голоса	ɡ ʌ ɭ o s a
голосами	ɡ ʌ ɭ ʌ s ɑ mʲ ɪ
голосе	ɡ o ɭ ʌ sʲ i
голосистые	ɡ ʌ ɭ ʌ sʲ i s t y j ɪ
голосистый	ɡ ʌ ɭ ʌ sʲ i s t y j
голосить	ɡ ʌ ɭ ʌ sʲ i tʲ
голоском	ɡ ʌ ɭ ʌ s k o m
голосов	ɡ ʌ ɭ ʌ s o f
голосовали	ɡ ʌ ɭ ʌ s ʌ v ɑ ɭʲ ɪ
голосовать	ɡ ʌ ɭ ʌ s ʌ v ɑ tʲ
голосок	ɡ ʌ ɭ ʌ s o k
голосом	ɡ o ɭ ʌ s ʌ m
голосу	ɡ o ɭ ʌ s u
голося	ɡ ʌ ɭ ʌ sʲ ɑ
голосят	ɡ ʌ ɭ ʌ sʲ ɑ t
голтве	ɡ o ɭ t vʲ i
голту	ɡ o ɭ t u
голубая	ɡ ʌ ɭ u b ɑ ja
голубе	ɡ o ɭ u bʲ i
голубей	ɡ ʌ ɭ u bʲ e j
голубенькую	ɡ ʌ ɭ u bʲ e n k u ju
голубец	ɡ ʌ ɭ u bʲ e ts
голуби	ɡ o ɭ u bʲ ɪ
голубиная	ɡ ʌ ɭ u bʲ i n ʌ ja
голубиного	ɡ ʌ ɭ u bʲ i n ʌ v ʌ
голубиной	ɡ ʌ ɭ u bʲ i n ʌ j
голубиный	ɡ ʌ ɭ u bʲ i n y j
голубиным	ɡ ʌ ɭ u bʲ i n y m
голубица	ɡ ʌ ɭ u bʲ i ts a
голубице	ɡ ʌ ɭ u bʲ i ts y
голубицы	ɡ ʌ ɭ u bʲ i ts y
голубка	ɡ ʌ ɭ u p k a
голубоватая	ɡ ʌ ɭ u b ʌ v ɑ t ʌ ja
голубоватозолотистые	ɡ ʌ ɭ u b ʌ v ʌ t ʌ z ʌ ɭ o tʲ i s t y j ɪ
голубоватой	ɡ ʌ ɭ u b ʌ v ɑ t ʌ j
голубоватом	ɡ ʌ ɭ u b ʌ v ɑ t ʌ m
голубоглазый	ɡ ʌ ɭ u b ʌ ɡ ɭ ɑ z y j
голубого	ɡ ʌ ɭ u b o v ʌ
голубое	ɡ ʌ ɭ u b o j ɪ
голубой	ɡ ʌ ɭ u b o j
голубок	ɡ ʌ ɭ u b o k
голубом	ɡ ʌ ɭ u b ʌ m
голубому	ɡ ʌ ɭ u b o m u
голубочка	ɡ ʌ ɭ u b ʌ tʃʲ k a
голубочки	ɡ ʌ ɭ u b o tʃʲ kʲ ɪ
голубою	ɡ ʌ ɭ u b ʌ ju
голубушка	ɡ ʌ ɭ u b u ʃ k a
голубушку	ɡ ʌ ɭ u b u ʃ k u
голубую	ɡ ʌ ɭ u b u ju
голубчик	ɡ ʌ ɭ u p tʃʲ i k
голубчика	ɡ ʌ ɭ u p tʃʲ i k a
голубчики	ɡ ʌ ɭ u p tʃʲ i kʲ ɪ
голубчику	ɡ ʌ ɭ u p tʃʲ i k u
голубые	ɡ ʌ ɭ u b y j ɪ
голубым	ɡ ʌ ɭ u b y m
голубыми	ɡ ʌ ɭ u b y mʲ ɪ
голубых	ɡ ʌ ɭ u b y x
голубь	ɡ o ɭ u p
голубю	ɡ o ɭ u bʲ u"
голубя	ɡ o ɭ u bʲ ʌ
голубям	ɡ ʌ ɭ u bʲ ɑ m
голубятню	ɡ ʌ ɭ u bʲ ɑ tʲ nʲ u"
голуса	ɡ ʌ ɭ u s a
голую	ɡ o ɭ u ju
голы	ɡ o ɭ y
голые	ɡ o ɭ y j ɪ
голый	ɡ o ɭ y j
голым	ɡ o ɭ y m
голыми	ɡ o ɭ y mʲ ɪ
голых	ɡ o ɭ y x
голь	ɡ o ɭ
гольцов	ɡ o ɭ ts ʌ f
гомера	ɡ ʌ mʲ e r a
гомерическая	ɡ ʌ mʲ i rʲ i tʃʲ i s k ʌ ja
гомерический	ɡ ʌ mʲ i rʲ i tʃʲ i s kʲ i j
гомерическому	ɡ ʌ mʲ i rʲ i tʃʲ i s k ʌ m u
гомеру	ɡ ʌ mʲ e r u
гомон	ɡ o m ʌ n
гомункула	ɡ ʌ m u n k u ɭ a
гондоле	ɡ ʌ n d o ɭʲ i
гонение	ɡ ʌ nʲ e nʲ i j ɪ
гонений	ɡ ʌ nʲ e nʲ i j
гонению	ɡ ʌ nʲ e nʲ i ju
гонения	ɡ ʌ nʲ e nʲ i ja
гонениям	ɡ ʌ nʲ e nʲ i ja m
гоненье	ɡ ʌ nʲ e n j j ɪ
гоненьем	ɡ ʌ nʲ e n j j i m
гонец	ɡ ʌ nʲ e ts
гони	ɡ ʌ nʲ i
гоним	ɡ o nʲ i m
гонима	ɡ ʌ nʲ i m a
гонимой	ɡ ʌ nʲ i m ʌ j
гонимы	ɡ ʌ nʲ i m y
гонимый	ɡ ʌ nʲ i m y j
гонимых	ɡ ʌ nʲ i m y x
гонит	ɡ o nʲ i t
гоните	ɡ ʌ nʲ i tʲ i
гонителей	ɡ ʌ nʲ i tʲ i ɭʲ i j
гонитель	ɡ ʌ nʲ i tʲ i ɭ
гонится	ɡ o nʲ i ts ʌ
гонишь	ɡ o nʲ i ʃ
гонкий	ɡ o n kʲ i j
гонорар	ɡ ʌ n ʌ r ɑ r
гонца	ɡ ʌ n ts ɑ
гонцы	ɡ ʌ n ts y
гончаров	ɡ ʌ n tʃʲ a r o f
гончарова	ɡ ʌ n tʃʲ a r o v a
гончаровский	ɡ ʌ n tʃʲ a r o f s kʲ i j
